rank,strategy,symbol,timeframe,sharpe,sortino,cagr,max_drawdown,win_rate,profit_factor,total_return,trade_count,exposure,avg_trade,best_trade,worst_trade,n_bars,gate1_pass,halted,is_optimized,score
1,ema_crossover,AMD,1d,1.6018,1.735,1.0019,0.2011,1.0,999.9,0.2673,1,0.7471,0.3339,0.3339,0.3339,87,False,True,False,3.9062
2,cci_trend,AMD,1d,1.2991,1.1033,0.4666,0.2087,0.5,4.2816,0.5187,6,0.4855,0.1125,0.4053,-0.0897,276,False,True,False,2.1277
3,stoch_rsi,SOXL,1d,0.8711,0.3849,0.11,0.2068,0.5417,1.8905,0.7929,48,0.1892,0.0313,0.4358,-0.1788,1411,False,True,False,0.8913
4,williams_r,TECL,1d,0.7229,0.2329,0.1245,0.2241,0.7333,2.4951,0.4225,15,0.1583,0.0298,0.1328,-0.1347,758,False,True,False,0.8912
5,cci_trend,NFLX,1d,0.6289,0.5072,0.1128,0.215,0.5,1.9585,0.2937,16,0.477,0.0185,0.3058,-0.081,608,False,True,False,0.797
6,macd_momentum,AMD,1d,0.8337,0.6965,0.0725,0.141,0.3918,2.2903,1.0109,97,0.5493,0.0457,1.241,-0.2361,2516,False,False,False,0.762
7,squeeze_momentum,LLY,1d,0.8388,0.3837,0.0416,0.0672,0.4545,3.5029,0.5022,22,0.1722,0.0416,0.2745,-0.0504,2515,False,False,False,0.6923
8,cci_trend,LLY,1d,0.6291,0.3756,0.0693,0.1818,0.4468,2.0428,0.9521,47,0.3812,0.0229,0.3769,-0.0834,2516,False,False,False,0.6679
9,cci_trend,MU,1d,0.5107,0.3322,0.0855,0.2038,0.381,1.949,0.386,21,0.3944,0.0316,0.247,-0.1096,1004,False,True,False,0.6581
10,ema_crossover,COST,1d,0.9105,0.7264,0.0153,0.0241,0.5208,3.495,0.1632,48,0.688,0.0316,0.309,-0.062,2516,False,False,False,0.6574
11,cci_trend,COST,1d,0.6187,0.3589,0.0578,0.151,0.5,2.357,0.7521,46,0.4036,0.0192,0.214,-0.076,2515,False,False,False,0.6407
12,ema_crossover,MU,1d,0.6395,0.5608,0.0589,0.1567,0.3793,2.4883,0.7709,58,0.6379,0.064,1.9129,-0.2241,2516,False,False,False,0.6391
13,williams_r,LLY,1d,0.5318,0.3111,0.0588,0.1414,0.7273,2.0257,0.7677,55,0.2143,0.013,0.1094,-0.1238,2515,False,False,False,0.6336
14,ema_crossover,TECL,1d,0.6271,0.4673,0.0422,0.1024,0.4375,2.6012,0.5113,48,0.6876,0.0832,1.036,-0.2211,2516,False,False,False,0.6007
15,stoch_rsi,TECL,1d,0.5335,0.2106,0.0474,0.1603,0.6316,1.6239,0.5871,76,0.196,0.0165,0.194,-0.3145,2515,False,False,False,0.5867
16,squeeze_momentum,COST,1d,0.6765,0.2879,0.026,0.0964,0.5,3.1509,0.2917,22,0.2008,0.0255,0.1454,-0.0435,2515,False,False,False,0.5793
17,macd_momentum,COST,1d,0.6793,0.4891,0.0208,0.0501,0.4457,1.8895,0.2285,92,0.5445,0.0123,0.1794,-0.0656,2516,False,False,False,0.5687
18,ema_crossover,HD,1d,0.6921,0.5321,0.0108,0.0279,0.4524,2.4501,0.1137,42,0.6091,0.0278,0.3904,-0.0695,2515,False,False,False,0.5489
19,cci_trend,TECL,1d,0.3916,0.236,0.0579,0.2187,0.5385,1.6965,0.1102,13,0.548,0.0183,0.2204,-0.099,469,False,True,False,0.5404
20,williams_r,AMD,1d,0.3736,0.1375,0.057,0.2764,0.75,1.7314,0.1467,8,0.1766,0.0335,0.153,-0.3136,623,False,True,False,0.5402
