rank,strategy,symbol,timeframe,sharpe,sortino,cagr,max_drawdown,win_rate,profit_factor,total_return,trade_count,exposure,avg_trade,best_trade,worst_trade,n_bars,gate1_pass,halted,is_optimized,score
1,cci_trend,TQQQ,1d,0.7647,0.4308,0.1074,0.2104,0.6364,1.7534,0.2544,11,0.3868,0.0187,0.1997,-0.0976,561,False,True,False,0.8496
2,cci_trend,UPRO,1d,0.8376,0.4529,0.0937,0.2054,0.5,2.0881,0.2598,10,0.3548,0.0254,0.1586,-0.1361,651,False,True,False,0.8251
3,bb_reversion,TQQQ,1d,0.4883,0.1403,0.071,0.2088,0.7857,1.9766,0.1974,14,0.0543,0.0162,0.1153,-0.1733,663,False,True,False,0.6451
4,ema_crossover,TQQQ,1d,0.6816,0.4966,0.0387,0.114,0.4444,3.0091,0.4611,45,0.6912,0.0899,0.9843,-0.1788,2516,False,False,False,0.6104
5,stoch_rsi,UPRO,1d,0.5959,0.237,0.0383,0.1443,0.6053,1.6165,0.4555,76,0.1901,0.012,0.2067,-0.2159,2515,False,False,False,0.5849
6,bb_reversion,UPRO,1d,0.3962,0.1184,0.0489,0.2152,0.7778,1.7329,0.1338,18,0.0724,0.0087,0.1009,-0.1663,663,False,True,False,0.5399
7,ema_crossover,UPRO,1d,0.5836,0.4275,0.0225,0.0529,0.4651,3.3941,0.2481,43,0.6995,0.0632,0.6495,-0.1424,2516,False,False,False,0.5369
8,macd_momentum,UPRO,1d,0.5535,0.4171,0.029,0.1015,0.4352,1.6574,0.3297,108,0.5751,0.0177,0.4983,-0.2433,2516,False,False,False,0.5316
9,stoch_rsi,TQQQ,1d,0.4422,0.1721,0.0342,0.1571,0.6076,1.424,0.3989,79,0.1909,0.0106,0.1483,-0.2541,2515,False,False,False,0.5088
10,rsi_reversion,TQQQ,1d,0.3904,0.066,0.0098,0.0387,0.7222,3.5821,0.1022,18,0.0191,0.0477,0.3207,-0.2278,2515,False,False,False,0.45
11,williams_r,TQQQ,1d,0.2051,0.0615,0.0206,0.2174,0.7778,1.3278,0.0397,9,0.1535,0.0091,0.1191,-0.1598,482,False,True,False,0.3781
12,squeeze_momentum,UPRO,1d,0.2283,0.0713,0.0121,0.1154,0.3846,2.0234,0.1273,13,0.1133,0.0209,0.1937,-0.0581,2515,False,False,False,0.343
13,rsi_reversion,UPRO,1d,0.1147,0.0198,0.0032,0.0944,0.6154,1.5737,0.0325,26,0.0306,0.0145,0.2568,-0.2602,2515,False,False,False,0.2981
14,squeeze_momentum,TQQQ,1d,-0.5087,-0.1026,-0.024,0.208,0.1667,0.2365,-0.1401,6,0.0518,-0.0507,0.0942,-0.1612,1565,False,True,False,0.0
15,donchian_bo,UPRO,1d,-0.3904,-0.1777,-0.0063,0.0856,0.4171,0.7643,-0.061,211,0.2243,-0.0024,0.0954,-0.0781,2515,False,False,False,0.0
16,macd_momentum,TQQQ,1d,0.0246,0.0168,-0.0016,0.2021,0.4651,1.5166,-0.014,86,0.5826,0.0209,0.7716,-0.2269,2240,False,True,False,0.0
17,williams_r,UPRO,1d,-0.2704,-0.0811,-0.0427,0.2301,0.3571,0.6077,-0.1379,14,0.1307,-0.0123,0.1357,-0.0981,857,False,True,False,0.0
18,donchian_bo,TQQQ,1d,-0.0994,-0.0442,-0.0038,0.1192,0.4192,0.8004,-0.0368,198,0.2151,-0.0026,0.1953,-0.1264,2515,False,False,False,0.0
