date,ticker,mode,value
2016-06-01,SPY,baseline,100.00
2016-06-02,SPY,baseline,100.30
2016-06-03,SPY,baseline,100.00
2016-06-06,SPY,baseline,100.51
2016-06-07,SPY,baseline,100.67
2016-06-08,SPY,baseline,101.00
2016-06-09,SPY,baseline,100.86
2016-06-10,SPY,baseline,99.90
2016-06-13,SPY,baseline,99.13
2016-06-14,SPY,baseline,98.94
2016-06-15,SPY,baseline,98.80
2016-06-16,SPY,baseline,99.10
2016-06-17,SPY,baseline,98.73
2016-06-20,SPY,baseline,99.36
2016-06-21,SPY,baseline,99.65
2016-06-22,SPY,baseline,99.48
2016-06-23,SPY,baseline,100.78
2016-06-24,SPY,baseline,97.16
2016-06-27,SPY,baseline,95.42
2016-06-28,SPY,baseline,97.14
2016-06-29,SPY,baseline,98.79
2016-06-30,SPY,baseline,100.14
2016-07-01,SPY,baseline,200.35
2016-07-05,SPY,baseline,198.91
2016-07-06,SPY,baseline,200.10
2016-07-07,SPY,baseline,199.98
2016-07-08,SPY,baseline,202.96
2016-07-11,SPY,baseline,203.67
2016-07-12,SPY,baseline,205.15
2016-07-13,SPY,baseline,205.12
2016-07-14,SPY,baseline,206.27
2016-07-15,SPY,baseline,205.99
2016-07-18,SPY,baseline,206.55
2016-07-19,SPY,baseline,206.34
2016-07-20,SPY,baseline,207.20
2016-07-21,SPY,baseline,206.41
2016-07-22,SPY,baseline,207.34
2016-07-25,SPY,baseline,206.78
2016-07-26,SPY,baseline,206.87
2016-07-27,SPY,baseline,206.65
2016-07-28,SPY,baseline,206.89
2016-07-29,SPY,baseline,207.22
2016-08-01,SPY,baseline,307.05
2016-08-02,SPY,baseline,305.09
2016-08-03,SPY,baseline,305.98
2016-08-04,SPY,baseline,306.30
2016-08-05,SPY,baseline,308.81
2016-08-08,SPY,baseline,308.62
2016-08-09,SPY,baseline,308.81
2016-08-10,SPY,baseline,308.04
2016-08-11,SPY,baseline,309.47
2016-08-12,SPY,baseline,309.20
2016-08-15,SPY,baseline,310.10
2016-08-16,SPY,baseline,308.50
2016-08-17,SPY,baseline,309.08
2016-08-18,SPY,baseline,309.77
2016-08-19,SPY,baseline,309.32
2016-08-22,SPY,baseline,309.30
2016-08-23,SPY,baseline,309.93
2016-08-24,SPY,baseline,308.34
2016-08-25,SPY,baseline,308.13
2016-08-26,SPY,baseline,307.55
2016-08-29,SPY,baseline,309.06
