month,date,invested_cumulative,SPY_value,SPY_pl_pct,UPRO_value,UPRO_pl_pct,QQQ_value,QQQ_pl_pct,QLD_value,QLD_pl_pct,TQQQ_value,TQQQ_pl_pct
2016-06,2016-06-01,100.00,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00
2016-07,2016-07-01,200.00,200.35,0.18,199.95,-0.03,198.20,-0.90,196.01,-2.00,193.40,-3.30
2016-08,2016-08-01,300.00,307.05,2.35,320.11,6.70,312.43,4.14,324.73,8.24,337.41,12.47
2016-09,2016-09-01,400.00,407.69,1.92,421.50,5.37,414.86,3.72,429.22,7.30,443.66,10.92
2016-10,2016-10-03,500.00,506.71,1.34,514.92,2.98,522.35,4.47,543.55,8.71,566.27,13.25
2016-11,2016-11-01,600.00,595.51,-0.75,580.75,-3.21,611.60,1.93,620.64,3.44,630.25,5.04
2016-12,2016-12-01,700.00,719.67,2.81,750.60,7.23,708.23,1.18,712.00,1.71,714.83,2.12
2017-01,2017-01-03,800.00,842.61,5.33,922.03,15.25,835.36,4.42,865.51,8.19,894.79,11.85
2017-02,2017-02-01,900.00,951.51,5.72,1049.39,16.60,976.52,8.50,1050.97,16.77,1130.54,25.62
2017-03,2017-03-01,1000.00,1102.34,10.23,1321.02,32.10,1123.31,12.33,1252.18,25.22,1398.68,39.87
2017-04,2017-04-03,1100.00,1186.59,7.87,1362.16,23.83,1233.01,12.09,1371.04,24.64,1528.21,38.93
2017-05,2017-05-01,1200.00,1303.48,8.62,1514.15,26.18,1378.68,14.89,1570.64,30.89,1796.79,49.73
2017-06,2017-06-01,1300.00,1429.04,9.93,1696.80,30.52,1525.30,17.33,1776.73,36.67,2076.42,59.72
2017-07,2017-07-03,1400.00,1529.22,9.23,1791.45,27.96,1568.53,12.04,1738.76,24.20,1934.97,38.21
2017-08,2017-08-01,1500.00,1661.49,10.77,1998.55,33.24,1753.42,16.89,2026.46,35.10,2353.73,56.92
2017-09,2017-09-01,1600.00,1764.98,10.31,2101.80,31.36,1883.22,17.70,2189.52,36.85,2554.56,59.66
2017-10,2017-10-02,1700.00,1905.80,12.11,2337.43,37.50,1981.91,16.58,2279.36,34.08,2636.41,55.08
2017-11,2017-11-01,1800.00,2044.85,13.60,2578.53,43.25,2170.67,20.59,2582.80,43.49,3086.41,71.47
2017-12,2017-12-01,1900.00,2200.20,15.80,2877.69,51.46,2304.78,21.30,2756.91,45.10,3316.97,74.58
2018-01,2018-01-02,2000.00,2347.49,17.37,3154.75,57.74,2469.40,23.47,3002.68,50.13,3676.16,83.81
2018-02,2018-02-01,2100.00,2559.37,21.87,3703.42,76.35,2716.95,29.38,3463.22,64.92,4453.72,112.08
2018-03,2018-03-01,2200.00,2533.22,15.15,3215.57,46.16,2760.66,25.48,3393.28,54.24,4180.09,90.00
2018-04,2018-04-02,2300.00,2546.17,10.70,2950.76,28.29,2714.34,18.01,3115.78,35.47,3564.43,54.98
2018-05,2018-05-01,2400.00,2720.44,13.35,3281.22,36.72,2941.23,22.55,3487.36,45.31,4121.87,71.74
2018-06,2018-06-01,2500.00,2908.93,16.36,3683.68,47.35,3221.20,28.85,4016.13,60.65,4987.92,99.52
2018-07,2018-07-02,2600.00,3003.41,15.52,3737.12,43.74,3329.21,28.05,4119.80,58.45,5079.39,95.36
2018-08,2018-08-01,2700.00,3202.84,18.62,4198.62,55.50,3512.44,30.09,4408.51,63.28,5516.91,104.33
2018-09,2018-09-04,2800.00,3404.90,21.60,4678.69,67.10,3785.57,35.20,4936.97,76.32,6429.34,129.62
2018-10,2018-10-01,2900.00,3542.98,22.17,4909.66,69.30,3898.91,34.45,5052.17,74.21,6539.24,125.49
2018-11,2018-11-01,3000.00,3421.70,14.06,4066.22,35.54,3703.41,23.45,4361.41,45.38,5080.06,69.34
2018-12,2018-12-03,3100.00,3594.13,15.94,4364.36,40.79,3809.22,22.88,4428.65,42.86,5068.19,63.49
2019-01,2019-01-02,3200.00,3338.21,4.32,3210.77,0.34,3533.29,10.42,3647.54,13.99,3677.95,14.94
2019-02,2019-02-01,3300.00,3703.47,12.23,4075.45,23.50,3920.06,18.79,4326.82,31.12,4643.35,40.71
2019-03,2019-03-01,3400.00,3945.54,16.05,4636.36,36.36,4182.52,23.02,4779.84,40.58,5308.64,56.14
2019-04,2019-04-01,3500.00,4139.38,18.27,5032.42,43.78,4473.94,27.83,5306.06,51.60,6107.23,74.49
2019-05,2019-05-01,3600.00,4325.98,20.17,5414.63,50.41,4743.28,31.76,5783.58,60.66,6875.10,90.97
2019-06,2019-06-03,3700.00,4170.40,12.71,4556.56,23.15,4371.03,18.14,4764.41,28.77,5047.17,36.41
