date,ticker,mode,value,invested
2016-06-01,SPY,baseline,100.00,100.00
2016-06-02,SPY,baseline,100.30,100.00
2016-06-03,SPY,baseline,100.00,100.00
2016-06-06,SPY,baseline,100.51,100.00
2016-06-07,SPY,baseline,100.67,100.00
2016-06-08,SPY,baseline,101.00,100.00
2016-06-09,SPY,baseline,100.86,100.00
2016-06-10,SPY,baseline,99.90,100.00
2016-06-13,SPY,baseline,99.13,100.00
2016-06-14,SPY,baseline,98.94,100.00
2016-06-15,SPY,baseline,98.80,100.00
2016-06-16,SPY,baseline,99.10,100.00
2016-06-17,SPY,baseline,98.73,100.00
2016-06-20,SPY,baseline,99.36,100.00
2016-06-21,SPY,baseline,99.65,100.00
2016-06-22,SPY,baseline,99.48,100.00
2016-06-23,SPY,baseline,100.78,100.00
2016-06-24,SPY,baseline,97.16,100.00
2016-06-27,SPY,baseline,95.42,100.00
2016-06-28,SPY,baseline,97.14,100.00
2016-06-29,SPY,baseline,98.79,100.00
2016-06-30,SPY,baseline,100.14,100.00
2016-07-01,SPY,baseline,200.35,200.00
2016-07-05,SPY,baseline,198.91,200.00
2016-07-06,SPY,baseline,200.10,200.00
2016-07-07,SPY,baseline,199.98,200.00
2016-07-08,SPY,baseline,202.96,200.00
2016-07-11,SPY,baseline,203.67,200.00
2016-07-12,SPY,baseline,205.15,200.00
2016-07-13,SPY,baseline,205.12,200.00
2016-07-14,SPY,baseline,206.27,200.00
2016-07-15,SPY,baseline,205.99,200.00
2016-07-18,SPY,baseline,206.55,200.00
2016-07-19,SPY,baseline,206.34,200.00
2016-07-20,SPY,baseline,207.20,200.00
2016-07-21,SPY,baseline,206.41,200.00
2016-07-22,SPY,baseline,207.34,200.00
2016-07-25,SPY,baseline,206.78,200.00
2016-07-26,SPY,baseline,206.87,200.00
2016-07-27,SPY,baseline,206.65,200.00
2016-07-28,SPY,baseline,206.89,200.00
2016-07-29,SPY,baseline,207.22,200.00
2016-08-01,SPY,baseline,307.05,300.00
2016-08-02,SPY,baseline,305.09,300.00
2016-08-03,SPY,baseline,305.98,300.00
2016-08-04,SPY,baseline,306.30,300.00
2016-08-05,SPY,baseline,308.81,300.00
2016-08-08,SPY,baseline,308.62,300.00
2016-08-09,SPY,baseline,308.81,300.00
2016-08-10,SPY,baseline,308.04,300.00
2016-08-11,SPY,baseline,309.47,300.00
2016-08-12,SPY,baseline,309.20,300.00
2016-08-15,SPY,baseline,310.10,300.00
2016-08-16,SPY,baseline,308.50,300.00
2016-08-17,SPY,baseline,309.08,300.00
2016-08-18,SPY,baseline,309.77,300.00
2016-08-19,SPY,baseline,309.32,300.00
2016-08-22,SPY,baseline,309.30,300.00
2016-08-23,SPY,baseline,309.93,300.00
2016-08-24,SPY,baseline,308.34,300.00
2016-08-25,SPY,baseline,308.13,300.00
2016-08-26,SPY,baseline,307.55,300.00
2016-08-29,SPY,baseline,309.06,300.00
2016-08-30,SPY,baseline,308.55,300.00
2016-08-31,SPY,baseline,307.68,300.00
2016-09-01,SPY,baseline,407.69,400.00
2016-09-02,SPY,baseline,409.53,400.00
2016-09-06,SPY,baseline,410.77,400.00
2016-09-07,SPY,baseline,410.73,400.00
2016-09-08,SPY,baseline,409.79,400.00
2016-09-09,SPY,baseline,399.98,400.00
2016-09-12,SPY,baseline,405.72,400.00
2016-09-13,SPY,baseline,399.89,400.00
2016-09-14,SPY,baseline,399.74,400.00
2016-09-15,SPY,baseline,403.73,400.00
2016-09-16,SPY,baseline,402.17,400.00
2016-09-19,SPY,baseline,402.25,400.00
2016-09-20,SPY,baseline,402.27,400.00
2016-09-21,SPY,baseline,406.79,400.00
2016-09-22,SPY,baseline,409.35,400.00
2016-09-23,SPY,baseline,407.11,400.00
2016-09-26,SPY,baseline,403.81,400.00
2016-09-27,SPY,baseline,406.32,400.00
2016-09-28,SPY,baseline,408.34,400.00
2016-09-29,SPY,baseline,404.64,400.00
2016-09-30,SPY,baseline,407.69,400.00
2016-10-03,SPY,baseline,506.71,500.00
2016-10-04,SPY,baseline,504.13,500.00
2016-10-05,SPY,baseline,506.36,500.00
2016-10-06,SPY,baseline,506.71,500.00
2016-10-07,SPY,baseline,504.98,500.00
2016-10-10,SPY,baseline,507.61,500.00
2016-10-11,SPY,baseline,501.20,500.00
2016-10-12,SPY,baseline,501.85,500.00
2016-10-13,SPY,baseline,500.21,500.00
2016-10-14,SPY,baseline,500.47,500.00
2016-10-17,SPY,baseline,498.73,500.00
2016-10-18,SPY,baseline,501.85,500.00
2016-10-19,SPY,baseline,503.19,500.00
2016-10-20,SPY,baseline,502.25,500.00
2016-10-21,SPY,baseline,502.49,500.00
2016-10-24,SPY,baseline,504.62,500.00
2016-10-25,SPY,baseline,502.93,500.00
2016-10-26,SPY,baseline,501.92,500.00
2016-10-27,SPY,baseline,500.59,500.00
2016-10-28,SPY,baseline,499.11,500.00
2016-10-31,SPY,baseline,499.13,500.00
2016-11-01,SPY,baseline,595.51,600.00
2016-11-02,SPY,baseline,591.93,600.00
2016-11-03,SPY,baseline,589.22,600.00
2016-11-04,SPY,baseline,588.57,600.00
2016-11-07,SPY,baseline,601.55,600.00
2016-11-08,SPY,baseline,604.26,600.00
2016-11-09,SPY,baseline,610.67,600.00
2016-11-10,SPY,baseline,612.19,600.00
2016-11-11,SPY,baseline,610.78,600.00
2016-11-14,SPY,baseline,611.26,600.00
2016-11-15,SPY,baseline,616.03,600.00
2016-11-16,SPY,baseline,614.87,600.00
2016-11-17,SPY,baseline,618.03,600.00
2016-11-18,SPY,baseline,616.65,600.00
2016-11-21,SPY,baseline,621.31,600.00
2016-11-22,SPY,baseline,622.52,600.00
2016-11-23,SPY,baseline,622.86,600.00
2016-11-25,SPY,baseline,625.17,600.00
2016-11-28,SPY,baseline,622.24,600.00
2016-11-29,SPY,baseline,623.45,600.00
2016-11-30,SPY,baseline,621.96,600.00
2016-12-01,SPY,baseline,719.67,700.00
2016-12-02,SPY,baseline,720.03,700.00
2016-12-05,SPY,baseline,724.36,700.00
2016-12-06,SPY,baseline,726.65,700.00
2016-12-07,SPY,baseline,736.16,700.00
2016-12-08,SPY,baseline,737.96,700.00
2016-12-09,SPY,baseline,742.42,700.00
2016-12-12,SPY,baseline,741.57,700.00
2016-12-13,SPY,baseline,746.52,700.00
2016-12-14,SPY,baseline,740.35,700.00
2016-12-15,SPY,baseline,743.40,700.00
2016-12-16,SPY,baseline,741.95,700.00
2016-12-19,SPY,baseline,743.56,700.00
2016-12-20,SPY,baseline,746.43,700.00
2016-12-21,SPY,baseline,744.35,700.00
2016-12-22,SPY,baseline,743.07,700.00
2016-12-23,SPY,baseline,744.16,700.00
2016-12-27,SPY,baseline,746.00,700.00
2016-12-28,SPY,baseline,739.84,700.00
2016-12-29,SPY,baseline,739.67,700.00
2016-12-30,SPY,baseline,736.97,700.00
2017-01-03,SPY,baseline,842.61,800.00
2017-01-04,SPY,baseline,847.62,800.00
2017-01-05,SPY,baseline,846.95,800.00
2017-01-06,SPY,baseline,849.98,800.00
2017-01-09,SPY,baseline,847.17,800.00
2017-01-10,SPY,baseline,847.17,800.00
2017-01-11,SPY,baseline,849.56,800.00
2017-01-12,SPY,baseline,847.43,800.00
2017-01-13,SPY,baseline,849.38,800.00
2017-01-17,SPY,baseline,846.38,800.00
2017-01-18,SPY,baseline,848.26,800.00
2017-01-19,SPY,baseline,845.11,800.00
2017-01-20,SPY,baseline,848.22,800.00
2017-01-23,SPY,baseline,846.01,800.00
2017-01-24,SPY,baseline,851.44,800.00
2017-01-25,SPY,baseline,858.81,800.00
