ticker,mode,final_value,final_invested,money_mult,pl_pct,maxdd_pct,maxdd_start,maxdd_end,maxdd_duration_days,sharpe_daily,min_pl_pct,dd_months,forced_sells,forced_buys
SPY,baseline,27573.691,12000.000,2.298,129.781,-32.529,2020-02-19,2020-03-23,33,1.461,-10.427,0,0,0
SPY,dd_pl,28308.488,12200.000,2.320,132.037,-32.562,2020-02-19,2020-03-23,33,1.441,-9.926,2,0,0
SPY,dd_ath,32315.703,14300.000,2.260,125.984,-32.529,2020-02-19,2020-03-23,33,1.497,-10.427,23,0,0
SPY,dd_hybrid,30499.917,13500.000,2.259,125.925,-32.529,2020-02-19,2020-03-23,33,1.484,-10.427,15,0,0
SPY,exit,22468.424,12000.000,1.872,87.237,-15.790,2020-02-19,2020-03-05,15,1.448,-4.581,0,26,26
SPY,hybrid_exit,25061.833,13500.000,1.856,85.643,-15.790,2020-02-19,2020-03-05,15,1.472,-4.581,15,26,26
UPRO,baseline,56436.626,12000.000,4.703,370.305,-76.485,2020-02-19,2020-03-23,33,1.260,-52.095,0,0,0
UPRO,dd_pl,61087.944,12400.000,4.926,392.645,-76.508,2020-02-19,2020-03-23,33,1.051,-50.606,4,0,0
UPRO,dd_ath,84177.646,18200.000,4.625,362.515,-76.313,2020-02-19,2020-03-23,33,1.090,-53.542,62,0,0
UPRO,dd_hybrid,71543.915,15600.000,4.586,358.615,-76.262,2020-02-19,2020-03-23,33,1.071,-53.285,36,0,0
UPRO,exit,47453.257,12000.000,3.954,295.444,-46.011,2022-01-03,2023-03-17,438,1.367,-13.891,0,26,26
UPRO,hybrid_exit,60594.979,15600.000,3.884,288.429,-46.176,2022-01-03,2023-03-17,438,1.050,-13.891,36,26,26
QQQ,baseline,36896.597,12000.000,3.075,207.472,-29.880,2022-01-03,2022-10-14,284,1.472,-7.121,0,0,0
QQQ,dd_pl,37598.756,12100.000,3.107,210.734,-30.001,2022-01-03,2022-10-14,284,1.029,-7.121,1,0,0
QQQ,dd_ath,44741.650,15000.000,2.983,198.278,-28.481,2022-01-03,2022-06-16,164,1.512,-7.121,30,0,0
QQQ,dd_hybrid,40824.815,13600.000,3.002,200.182,-30.129,2022-01-03,2022-10-14,284,1.493,-7.121,16,0,0
QQQ,exit,31278.250,12000.000,2.607,160.652,-20.478,2020-02-19,2020-03-11,21,1.462,-5.832,0,22,22
QQQ,hybrid_exit,34866.885,13600.000,2.564,156.374,-20.535,2020-02-19,2020-03-11,21,1.485,-5.832,16,22,22
QLD,baseline,71411.710,12000.000,5.951,495.098,-60.858,2021-11-19,2022-12-28,404,1.360,-13.850,0,0,0
QLD,dd_pl,73468.719,12100.000,6.072,507.179,-60.955,2021-11-19,2022-12-28,404,1.066,-13.850,1,0,0
QLD,dd_ath,100926.459,17800.000,5.670,467.003,-59.615,2021-11-19,2022-12-28,404,1.095,-13.850,58,0,0
QLD,dd_hybrid,86805.822,15400.000,5.637,463.674,-61.282,2021-11-19,2022-12-28,404,1.322,-13.850,34,0,0
QLD,exit,62698.656,12000.000,5.225,422.489,-39.234,2020-02-19,2020-03-11,21,1.418,-11.414,0,22,22
QLD,hybrid_exit,76971.296,15400.000,4.998,399.814,-38.534,2020-02-19,2020-03-11,21,1.355,-11.414,34,22,22
TQQQ,baseline,103038.904,12000.000,8.587,758.658,-80.359,2021-11-19,2022-12-28,404,1.257,-20.471,0,0,0
TQQQ,dd_pl,106924.649,12100.000,8.837,783.675,-80.416,2021-11-19,2022-12-28,404,1.071,-20.471,1,0,0
TQQQ,dd_ath,156921.941,19700.000,7.966,696.558,-79.908,2021-11-19,2022-12-28,404,1.104,-20.471,77,0,0
TQQQ,dd_hybrid,132290.501,16900.000,7.828,682.784,-80.620,2021-11-19,2022-12-28,404,1.250,-20.471,49,0,0
TQQQ,exit,114469.297,12000.000,9.539,853.911,-54.173,2020-02-19,2020-03-11,21,1.354,-17.046,0,22,22
TQQQ,hybrid_exit,149311.401,16900.000,8.835,783.499,-53.796,2020-02-19,2020-03-11,21,1.324,-17.046,49,22,22
