date,ticker,mode,value
2022-01-03,SPY,baseline,100.00
2022-01-04,SPY,baseline,99.97
2022-01-05,SPY,baseline,98.05
2022-01-06,SPY,baseline,97.95
2022-01-07,SPY,baseline,97.57
2022-01-10,SPY,baseline,97.45
2022-01-11,SPY,baseline,98.33
2022-01-12,SPY,baseline,98.60
2022-01-13,SPY,baseline,97.24
2022-01-14,SPY,baseline,97.28
2022-01-18,SPY,baseline,95.56
2022-01-19,SPY,baseline,94.57
2022-01-20,SPY,baseline,93.52
2022-01-21,SPY,baseline,91.68
2022-01-24,SPY,baseline,92.07
2022-01-25,SPY,baseline,90.95
2022-01-26,SPY,baseline,90.72
2022-01-27,SPY,baseline,90.27
2022-01-28,SPY,baseline,92.51
2022-01-31,SPY,baseline,94.18
2022-02-01,SPY,baseline,194.82
2022-02-02,SPY,baseline,196.71
2022-02-03,SPY,baseline,192.09
2022-02-04,SPY,baseline,192.99
2022-02-07,SPY,baseline,192.37
2022-02-08,SPY,baseline,193.95
2022-02-09,SPY,baseline,196.79
2022-02-10,SPY,baseline,193.26
2022-02-11,SPY,baseline,189.44
2022-02-14,SPY,baseline,188.83
2022-02-15,SPY,baseline,191.87
2022-02-16,SPY,baseline,192.09
2022-02-17,SPY,baseline,187.98
2022-02-18,SPY,baseline,186.77
2022-02-22,SPY,baseline,184.76
2022-02-23,SPY,baseline,181.48
2022-02-24,SPY,baseline,184.21
2022-02-25,SPY,baseline,188.28
2022-02-28,SPY,baseline,187.80
2022-03-01,SPY,baseline,284.94
2022-03-02,SPY,baseline,290.18
2022-03-03,SPY,baseline,288.73
2022-03-04,SPY,baseline,286.39
2022-03-07,SPY,baseline,277.95
2022-03-08,SPY,baseline,275.84
2022-03-09,SPY,baseline,283.23
2022-03-10,SPY,baseline,281.96
2022-03-11,SPY,baseline,278.37
2022-03-14,SPY,baseline,276.34
2022-03-15,SPY,baseline,282.41
2022-03-16,SPY,baseline,288.67
2022-03-17,SPY,baseline,292.29
2022-03-18,SPY,baseline,295.49
2022-03-21,SPY,baseline,295.40
2022-03-22,SPY,baseline,298.86
2022-03-23,SPY,baseline,295.01
2022-03-24,SPY,baseline,299.46
2022-03-25,SPY,baseline,300.92
2022-03-28,SPY,baseline,303.06
2022-03-29,SPY,baseline,306.81
2022-03-30,SPY,baseline,304.91
2022-03-31,SPY,baseline,300.22
2022-04-01,SPY,baseline,401.07
2022-04-04,SPY,baseline,404.51
2022-04-05,SPY,baseline,399.40
2022-04-06,SPY,baseline,395.40
2022-04-07,SPY,baseline,397.40
2022-04-08,SPY,baseline,396.33
2022-04-11,SPY,baseline,389.56
2022-04-12,SPY,baseline,388.12
2022-04-13,SPY,baseline,392.56
2022-04-14,SPY,baseline,387.67
2022-04-18,SPY,baseline,387.83
2022-04-19,SPY,baseline,394.09
2022-04-20,SPY,baseline,393.80
2022-04-21,SPY,baseline,387.91
2022-04-22,SPY,baseline,377.27
2022-04-25,SPY,baseline,379.46
2022-04-26,SPY,baseline,368.47
2022-04-27,SPY,baseline,369.50
2022-04-28,SPY,baseline,378.84
2022-04-29,SPY,baseline,364.84
2022-05-02,SPY,baseline,467.03
2022-05-03,SPY,baseline,469.17
2022-05-04,SPY,baseline,483.46
2022-05-05,SPY,baseline,466.28
2022-05-06,SPY,baseline,463.49
2022-05-09,SPY,baseline,448.65
2022-05-10,SPY,baseline,449.69
2022-05-11,SPY,baseline,442.55
2022-05-12,SPY,baseline,442.08
2022-05-13,SPY,baseline,452.65
2022-05-16,SPY,baseline,450.82
2022-05-17,SPY,baseline,460.09
2022-05-18,SPY,baseline,441.54
2022-05-19,SPY,baseline,438.84
2022-05-20,SPY,baseline,439.03
2022-05-23,SPY,baseline,447.25
2022-05-24,SPY,baseline,443.83
2022-05-25,SPY,baseline,447.75
2022-05-26,SPY,baseline,456.70
2022-05-27,SPY,baseline,467.91
2022-05-31,SPY,baseline,465.29
2022-06-01,SPY,baseline,561.52
2022-06-02,SPY,baseline,572.22
2022-06-03,SPY,baseline,562.82
2022-06-06,SPY,baseline,564.54
2022-06-07,SPY,baseline,569.95
2022-06-08,SPY,baseline,563.76
2022-06-09,SPY,baseline,550.35
2022-06-10,SPY,baseline,534.39
2022-06-13,SPY,baseline,514.10
2022-06-14,SPY,baseline,512.55
2022-06-15,SPY,baseline,519.86
2022-06-16,SPY,baseline,502.65
2022-06-17,SPY,baseline,503.74
2022-06-21,SPY,baseline,516.42
2022-06-22,SPY,baseline,515.48
2022-06-23,SPY,baseline,520.54
2022-06-24,SPY,baseline,537.09
2022-06-27,SPY,baseline,535.03
2022-06-28,SPY,baseline,524.10
2022-06-29,SPY,baseline,523.67
2022-06-30,SPY,baseline,519.42
2022-07-01,SPY,baseline,624.91
2022-07-05,SPY,baseline,626.09
2022-07-06,SPY,baseline,628.21
2022-07-07,SPY,baseline,637.62
2022-07-08,SPY,baseline,637.09
2022-07-11,SPY,baseline,629.81
2022-07-12,SPY,baseline,624.24
2022-07-13,SPY,baseline,620.96
2022-07-14,SPY,baseline,619.46
2022-07-15,SPY,baseline,631.29
2022-07-18,SPY,baseline,626.08
2022-07-19,SPY,baseline,642.99
2022-07-20,SPY,baseline,647.09
2022-07-21,SPY,baseline,653.68
2022-07-22,SPY,baseline,647.62
2022-07-25,SPY,baseline,648.40
2022-07-26,SPY,baseline,640.73
2022-07-27,SPY,baseline,657.37
2022-07-28,SPY,baseline,665.61
2022-07-29,SPY,baseline,675.32
2022-08-01,SPY,baseline,773.32
2022-08-02,SPY,baseline,768.22
2022-08-03,SPY,baseline,780.25
2022-08-04,SPY,baseline,779.72
2022-08-05,SPY,baseline,778.40
2022-08-08,SPY,baseline,777.50
2022-08-09,SPY,baseline,774.41
2022-08-10,SPY,baseline,790.68
2022-08-11,SPY,baseline,790.68
2022-08-12,SPY,baseline,804.06
2022-08-15,SPY,baseline,807.37
2022-08-16,SPY,baseline,808.96
2022-08-17,SPY,baseline,803.21
2022-08-18,SPY,baseline,805.55
2022-08-19,SPY,baseline,794.72
2022-08-22,SPY,baseline,778.18
2022-08-23,SPY,baseline,776.29
2022-08-24,SPY,baseline,778.78
2022-08-25,SPY,baseline,789.77
2022-08-26,SPY,baseline,763.04
2022-08-29,SPY,baseline,757.99
2022-08-30,SPY,baseline,749.67
2022-08-31,SPY,baseline,743.97
2022-09-01,SPY,baseline,846.30
2022-09-02,SPY,baseline,837.38
2022-09-06,SPY,baseline,834.22
2022-09-07,SPY,baseline,849.21
2022-09-08,SPY,baseline,854.76
2022-09-09,SPY,baseline,868.04
2022-09-12,SPY,baseline,877.37
2022-09-13,SPY,baseline,839.22
2022-09-14,SPY,baseline,842.42
2022-09-15,SPY,baseline,832.85
2022-09-16,SPY,baseline,826.50
2022-09-19,SPY,baseline,832.91
2022-09-20,SPY,baseline,823.35
2022-09-21,SPY,baseline,808.99
2022-09-22,SPY,baseline,802.19
2022-09-23,SPY,baseline,788.75
2022-09-26,SPY,baseline,780.95
2022-09-27,SPY,baseline,778.95
2022-09-28,SPY,baseline,794.28
2022-09-29,SPY,baseline,777.69
2022-09-30,SPY,baseline,765.66
2022-10-03,SPY,baseline,885.88
2022-10-04,SPY,baseline,913.33
2022-10-05,SPY,baseline,911.20
2022-10-06,SPY,baseline,901.80
2022-10-07,SPY,baseline,876.65
2022-10-10,SPY,baseline,869.95
2022-10-11,SPY,baseline,864.44
2022-10-12,SPY,baseline,861.59
2022-10-13,SPY,baseline,884.33
2022-10-14,SPY,baseline,864.18
2022-10-17,SPY,baseline,886.39
2022-10-18,SPY,baseline,896.80
2022-10-19,SPY,baseline,890.44
2022-10-20,SPY,baseline,882.98
2022-10-21,SPY,baseline,904.44
2022-10-24,SPY,baseline,915.50
2022-10-25,SPY,baseline,930.12
2022-10-26,SPY,baseline,923.11
2022-10-27,SPY,baseline,918.18
2022-10-28,SPY,baseline,940.03
2022-10-31,SPY,baseline,933.24
2022-11-01,SPY,baseline,1029.16
2022-11-02,SPY,baseline,1003.33
2022-11-03,SPY,baseline,993.00
2022-11-04,SPY,baseline,1007.29
2022-11-07,SPY,baseline,1016.92
2022-11-08,SPY,baseline,1022.41
2022-11-09,SPY,baseline,1001.35
2022-11-10,SPY,baseline,1056.37
2022-11-11,SPY,baseline,1066.60
2022-11-14,SPY,baseline,1057.53
2022-11-15,SPY,baseline,1066.55
2022-11-16,SPY,baseline,1058.41
2022-11-17,SPY,baseline,1055.17
2022-11-18,SPY,baseline,1059.96
2022-11-21,SPY,baseline,1056.11
2022-11-22,SPY,baseline,1070.32
2022-11-23,SPY,baseline,1077.06
2022-11-25,SPY,baseline,1076.82
2022-11-28,SPY,baseline,1059.64
2022-11-29,SPY,baseline,1057.82
2022-11-30,SPY,baseline,1091.14
2022-12-01,SPY,baseline,1190.34
2022-12-02,SPY,baseline,1188.97
2022-12-05,SPY,baseline,1167.58
2022-12-06,SPY,baseline,1150.75
2022-12-07,SPY,baseline,1148.79
2022-12-08,SPY,baseline,1157.79
2022-12-09,SPY,baseline,1149.14
2022-12-12,SPY,baseline,1165.71
2022-12-13,SPY,baseline,1174.53
2022-12-14,SPY,baseline,1167.02
2022-12-15,SPY,baseline,1138.47
2022-12-16,SPY,baseline,1125.03
2022-12-19,SPY,baseline,1115.49
2022-12-20,SPY,baseline,1117.02
2022-12-21,SPY,baseline,1133.72
2022-12-22,SPY,baseline,1117.55
2022-12-23,SPY,baseline,1123.98
2022-12-27,SPY,baseline,1119.54
2022-12-28,SPY,baseline,1105.63
2022-12-29,SPY,baseline,1125.53
2022-12-30,SPY,baseline,1122.57
2023-01-03,SPY,baseline,1217.84
2023-01-04,SPY,baseline,1227.24
2023-01-05,SPY,baseline,1213.24
2023-01-06,SPY,baseline,1241.06
2023-01-09,SPY,baseline,1240.36
2023-01-10,SPY,baseline,1249.05
2023-01-11,SPY,baseline,1264.85
2023-01-12,SPY,baseline,1269.46
2023-01-13,SPY,baseline,1274.38
2023-01-17,SPY,baseline,1272.05
2023-01-18,SPY,baseline,1251.96
2023-01-19,SPY,baseline,1242.85
2023-01-20,SPY,baseline,1266.00
2023-01-23,SPY,baseline,1281.19
2023-01-24,SPY,baseline,1279.82
2023-01-25,SPY,baseline,1280.30
2023-01-26,SPY,baseline,1294.37
2023-01-27,SPY,baseline,1297.34
2023-01-30,SPY,baseline,1281.07
2023-01-31,SPY,baseline,1299.90
2023-02-01,SPY,baseline,1413.72
2023-02-02,SPY,baseline,1434.30
2023-02-03,SPY,baseline,1419.05
2023-02-06,SPY,baseline,1410.38
2023-02-07,SPY,baseline,1428.82
2023-02-08,SPY,baseline,1413.20
2023-02-09,SPY,baseline,1400.95
2023-02-10,SPY,baseline,1404.22
2023-02-13,SPY,baseline,1420.70
2023-02-14,SPY,baseline,1420.05
2023-02-15,SPY,baseline,1424.66
2023-02-16,SPY,baseline,1405.04
2023-02-17,SPY,baseline,1401.53
2023-02-21,SPY,baseline,1373.42
2023-02-22,SPY,baseline,1371.53
2023-02-23,SPY,baseline,1378.82
2023-02-24,SPY,baseline,1364.09
2023-02-27,SPY,baseline,1368.74
2023-02-28,SPY,baseline,1363.68
2023-03-01,SPY,baseline,1458.45
2023-03-02,SPY,baseline,1469.79
2023-03-03,SPY,baseline,1493.36
2023-03-06,SPY,baseline,1494.40
2023-03-07,SPY,baseline,1471.49
2023-03-08,SPY,baseline,1473.89
2023-03-09,SPY,baseline,1446.70
2023-03-10,SPY,baseline,1425.82
2023-03-13,SPY,baseline,1423.79
2023-03-14,SPY,baseline,1447.33
2023-03-15,SPY,baseline,1438.28
2023-03-16,SPY,baseline,1463.51
2023-03-17,SPY,baseline,1446.40
2023-03-20,SPY,baseline,1460.31
2023-03-21,SPY,baseline,1479.48
2023-03-22,SPY,baseline,1454.26
2023-03-23,SPY,baseline,1458.19
2023-03-24,SPY,baseline,1467.76
2023-03-27,SPY,baseline,1470.50
2023-03-28,SPY,baseline,1467.20
2023-03-29,SPY,baseline,1488.53
2023-03-30,SPY,baseline,1497.25
2023-03-31,SPY,baseline,1518.35
2023-04-03,SPY,baseline,1624.13
2023-04-04,SPY,baseline,1615.12
2023-04-05,SPY,baseline,1610.89
2023-04-06,SPY,baseline,1617.18
2023-04-10,SPY,baseline,1618.84
2023-04-11,SPY,baseline,1619.27
2023-04-12,SPY,baseline,1612.67
2023-04-13,SPY,baseline,1634.09
2023-04-14,SPY,baseline,1630.10
2023-04-17,SPY,baseline,1635.95
2023-04-18,SPY,baseline,1637.02
2023-04-19,SPY,baseline,1636.74
2023-04-20,SPY,baseline,1627.81
2023-04-21,SPY,baseline,1629.07
2023-04-24,SPY,baseline,1630.77
2023-04-25,SPY,baseline,1604.89
2023-04-26,SPY,baseline,1598.09
2023-04-27,SPY,baseline,1629.90
2023-04-28,SPY,baseline,1643.82
2023-05-01,SPY,baseline,1742.16
2023-05-02,SPY,baseline,1722.58
2023-05-03,SPY,baseline,1710.75
2023-05-04,SPY,baseline,1698.63
2023-05-05,SPY,baseline,1730.08
2023-05-08,SPY,baseline,1730.54
2023-05-09,SPY,baseline,1722.95
2023-05-10,SPY,baseline,1731.00
2023-05-11,SPY,baseline,1727.98
2023-05-12,SPY,baseline,1725.72
2023-05-15,SPY,baseline,1731.67
2023-05-16,SPY,baseline,1720.10
2023-05-17,SPY,baseline,1740.98
2023-05-18,SPY,baseline,1757.75
2023-05-19,SPY,baseline,1755.20
2023-05-22,SPY,baseline,1755.91
2023-05-23,SPY,baseline,1736.20
2023-05-24,SPY,baseline,1723.62
2023-05-25,SPY,baseline,1738.55
2023-05-26,SPY,baseline,1761.07
2023-05-30,SPY,baseline,1761.74
2023-05-31,SPY,baseline,1751.97
2023-06-01,SPY,baseline,1868.61
2023-06-02,SPY,baseline,1895.63
2023-06-05,SPY,baseline,1892.00
2023-06-06,SPY,baseline,1896.12
2023-06-07,SPY,baseline,1889.57
2023-06-08,SPY,baseline,1901.00
2023-06-09,SPY,baseline,1904.41
2023-06-12,SPY,baseline,1921.68
2023-06-13,SPY,baseline,1934.35
2023-06-14,SPY,baseline,1936.66
2023-06-15,SPY,baseline,1960.67
2023-06-16,SPY,baseline,1953.99
2023-06-20,SPY,baseline,1943.85
2023-06-21,SPY,baseline,1933.89
2023-06-22,SPY,baseline,1940.87
2023-06-23,SPY,baseline,1926.20
2023-06-26,SPY,baseline,1918.33
2023-06-27,SPY,baseline,1939.36
2023-06-28,SPY,baseline,1940.34
2023-06-29,SPY,baseline,1947.98
2023-06-30,SPY,baseline,1970.97
2023-07-03,SPY,baseline,2073.24
2023-07-05,SPY,baseline,2070.16
2023-07-06,SPY,baseline,2053.95
2023-07-07,SPY,baseline,2048.76
2023-07-10,SPY,baseline,2053.95
2023-07-11,SPY,baseline,2067.03
2023-07-12,SPY,baseline,2083.66
2023-07-13,SPY,baseline,2100.20
2023-07-14,SPY,baseline,2098.89
2023-07-17,SPY,baseline,2106.18
2023-07-18,SPY,baseline,2121.83
2023-07-19,SPY,baseline,2126.54
2023-07-20,SPY,baseline,2112.44
2023-07-21,SPY,baseline,2112.44
2023-07-24,SPY,baseline,2121.87
2023-07-25,SPY,baseline,2127.66
2023-07-26,SPY,baseline,2127.99
2023-07-27,SPY,baseline,2113.88
2023-07-28,SPY,baseline,2134.58
2023-07-31,SPY,baseline,2138.64
2023-08-01,SPY,baseline,2232.52
2023-08-02,SPY,baseline,2201.47
2023-08-03,SPY,baseline,2195.16
2023-08-04,SPY,baseline,2185.23
2023-08-07,SPY,baseline,2204.30
2023-08-08,SPY,baseline,2194.72
2023-08-09,SPY,baseline,2180.05
2023-08-10,SPY,baseline,2180.83
2023-08-11,SPY,baseline,2179.56
2023-08-14,SPY,baseline,2191.59
2023-08-15,SPY,baseline,2166.06
2023-08-16,SPY,baseline,2150.16
2023-08-17,SPY,baseline,2133.78
2023-08-18,SPY,baseline,2134.81
2023-08-21,SPY,baseline,2148.70
2023-08-22,SPY,baseline,2142.88
2023-08-23,SPY,baseline,2166.74
2023-08-24,SPY,baseline,2136.71
2023-08-25,SPY,baseline,2151.78
2023-08-28,SPY,baseline,2165.42
2023-08-29,SPY,baseline,2196.72
2023-08-30,SPY,baseline,2205.77
2023-08-31,SPY,baseline,2202.54
2023-09-01,SPY,baseline,2306.65
2023-09-05,SPY,baseline,2296.68
2023-09-06,SPY,baseline,2281.24
2023-09-07,SPY,baseline,2274.24
2023-09-08,SPY,baseline,2277.66
2023-09-11,SPY,baseline,2292.64
2023-09-12,SPY,baseline,2280.07
2023-09-13,SPY,baseline,2282.73
2023-09-14,SPY,baseline,2302.41
2023-09-15,SPY,baseline,2274.67
2023-09-18,SPY,baseline,2276.00
2023-09-19,SPY,baseline,2271.28
2023-09-20,SPY,baseline,2250.40
2023-09-21,SPY,baseline,2213.21
2023-09-22,SPY,baseline,2208.23
2023-09-25,SPY,baseline,2217.52
2023-09-26,SPY,baseline,2184.94
2023-09-27,SPY,baseline,2185.81
2023-09-28,SPY,baseline,2198.48
2023-09-29,SPY,baseline,2193.15
2023-10-02,SPY,baseline,2292.27
2023-10-03,SPY,baseline,2261.59
2023-10-04,SPY,baseline,2278.06
