ticker,mode,final_value,pl_pct,maxdd_pct,maxdd_start,maxdd_end,maxdd_duration_days,recovery_date,recovery_duration_days,sharpe_daily,buys_done,buys_skipped,fs,fb
SPY,baseline,8144.240,53.665,-15.431,2025-02-19,2025-04-08,48,2025-05-12,34,1.754,53,0,0,0
SPY,skip,7198.111,35.813,-11.198,2025-02-19,2025-04-08,48,2025-05-02,24,1.735,41,12,0,0
SPY,exit,7259.839,36.978,-9.436,2022-01-03,2022-01-25,22,2022-02-01,7,1.723,41,12,15,16
UPRO,baseline,12916.780,143.713,-47.183,2025-02-19,2025-04-08,48,2025-07-02,85,1.582,53,0,0,0
UPRO,skip,10266.936,93.716,-39.092,2025-02-19,2025-04-08,48,2025-06-30,83,1.613,41,12,0,0
UPRO,exit,10761.330,103.044,-26.229,2022-01-03,2022-01-25,22,2022-02-01,7,1.602,41,12,15,16
QQQ,baseline,9388.960,77.150,-19.742,2025-02-19,2025-04-08,48,2025-05-13,35,1.728,53,0,0,0
QQQ,skip,7711.371,45.498,-15.082,2022-01-03,2022-01-27,24,2022-02-01,5,1.708,39,14,0,0
QQQ,exit,8035.747,51.618,-9.948,2022-01-03,2022-01-20,17,2022-02-01,12,1.724,39,14,10,11
QLD,baseline,13460.076,153.964,-39.786,2025-02-19,2025-04-08,48,2025-06-24,77,1.610,53,0,0,0
QLD,skip,9953.867,87.809,-30.513,2025-02-19,2025-04-08,48,2025-06-04,57,1.625,39,14,0,0
QLD,exit,11020.285,107.930,-19.302,2022-01-03,2022-01-20,17,2022-02-01,12,1.662,39,14,10,11
TQQQ,baseline,17939.434,238.480,-55.628,2024-12-16,2025-04-08,113,2025-07-03,86,1.516,53,0,0,0
TQQQ,skip,12328.419,132.612,-44.723,2025-02-19,2025-04-08,48,2025-06-30,83,1.534,39,14,0,0
TQQQ,exit,14780.267,178.873,-27.681,2022-01-03,2022-01-20,17,2022-02-01,12,1.595,39,14,10,11
