month,date,SPY_buy,SPY_inv,SPY_val,SPY_pl%,UPRO_buy,UPRO_inv,UPRO_val,UPRO_pl%,QQQ_buy,QQQ_inv,QQQ_val,QQQ_pl%,QLD_buy,QLD_inv,QLD_val,QLD_pl%,TQQQ_buy,TQQQ_inv,TQQQ_val,TQQQ_pl%
2022-01,2022-01-03,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,-0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,0.00
2022-02,2022-02-01,200.00,300.00,294.82,-1.73,200.00,300.00,284.48,-5.17,200.00,300.00,291.00,-3.00,200.00,300.00,282.08,-5.97,200.00,300.00,273.64,-8.79
2022-03,2022-03-01,200.00,500.00,479.87,-4.03,200.00,500.00,439.84,-12.03,200.00,500.00,471.87,-5.63,200.00,500.00,443.85,-11.23,200.00,500.00,417.31,-16.54
2022-04,2022-04-01,100.00,600.00,607.04,1.17,100.00,600.00,610.14,1.69,100.00,600.00,600.62,0.10,200.00,700.00,694.72,-0.75,200.00,700.00,683.11,-2.41
2022-05,2022-05-02,200.00,800.00,755.52,-5.56,200.00,800.00,659.79,-17.53,200.00,800.00,728.63,-8.92,200.00,900.00,731.55,-18.72,200.00,900.00,651.05,-27.66
2022-06,2022-06-01,200.00,1000.00,946.60,-5.34,200.00,1000.00,819.62,-18.04,200.00,1000.00,900.08,-9.99,200.00,1100.00,864.24,-21.43,200.00,1100.00,749.43,-31.87
2022-07,2022-07-01,200.00,1200.00,1084.89,-9.59,200.00,1200.00,849.74,-29.19,200.00,1200.00,1031.46,-14.04,200.00,1300.00,926.11,-28.76,200.00,1300.00,766.25,-41.06
2022-08,2022-08-01,200.00,1400.00,1368.92,-2.22,200.00,1400.00,1249.46,-10.75,200.00,1400.00,1352.62,-3.38,200.00,1500.00,1347.10,-10.19,200.00,1500.00,1246.49,-16.90
2022-09,2022-09-01,200.00,1600.00,1521.10,-4.93,200.00,1600.00,1303.41,-18.54,200.00,1600.00,1484.53,-7.22,200.00,1700.00,1402.95,-17.47,200.00,1700.00,1241.80,-26.95
2022-10,2022-10-03,200.00,1800.00,1612.50,-10.42,200.00,1800.00,1218.86,-32.29,200.00,1800.00,1558.70,-13.41,200.00,1900.00,1360.76,-28.38,200.00,1900.00,1121.53,-40.97
2022-11,2022-11-01,200.00,2000.00,1891.27,-5.44,200.00,2000.00,1571.97,-21.40,200.00,2000.00,1767.70,-11.61,200.00,2100.00,1557.22,-25.85,200.00,2100.00,1301.99,-38.00
2022-12,2022-12-01,100.00,2100.00,2103.71,0.18,200.00,2200.00,2019.38,-8.21,200.00,2200.00,2087.28,-5.12,200.00,2300.00,1947.95,-15.31,200.00,2300.00,1719.42,-25.24
2023-01,2023-01-03,200.00,2300.00,2175.58,-5.41,200.00,2400.00,1842.08,-23.25,200.00,2400.00,2083.99,-13.17,200.00,2500.00,1770.49,-29.18,200.00,2500.00,1433.70,-42.65
2023-02,2023-02-01,100.00,2400.00,2446.86,1.95,200.00,2600.00,2473.27,-4.87,200.00,2600.00,2571.12,-1.11,200.00,2700.00,2470.63,-8.50,200.00,2700.00,2267.88,-16.00
2023-03,2023-03-01,200.00,2600.00,2551.20,-1.88,200.00,2800.00,2364.03,-15.57,200.00,2800.00,2688.07,-4.00,200.00,2900.00,2489.42,-14.16,200.00,2900.00,2207.53,-23.88
2023-04,2023-04-03,100.00,2700.00,2766.10,2.45,200.00,3000.00,2844.31,-5.19,100.00,2900.00,3059.88,5.51,100.00,3000.00,3090.21,3.01,200.00,3100.00,3085.79,-0.46
2023-05,2023-05-01,100.00,2800.00,2896.79,3.46,200.00,3200.00,3106.35,-2.93,100.00,3000.00,3179.38,5.98,100.00,3100.00,3208.38,3.50,200.00,3300.00,3297.89,-0.06
2023-06,2023-06-01,100.00,2900.00,3040.78,4.85,200.00,3400.00,3399.18,-0.02,100.00,3100.00,3573.65,15.28,100.00,3200.00,3898.84,21.84,100.00,3400.00,4315.73,26.93
2023-07,2023-07-03,100.00,3000.00,3311.04,10.37,100.00,3500.00,4057.08,15.92,100.00,3200.00,3864.38,20.76,100.00,3300.00,4393.77,33.14,100.00,3500.00,5062.97,44.66
2023-08,2023-08-01,100.00,3100.00,3505.72,13.09,100.00,3600.00,4458.87,23.86,100.00,3300.00,4094.83,24.09,100.00,3400.00,4762.05,40.06,100.00,3600.00,5614.32,55.95
2023-09,2023-09-01,100.00,3200.00,3565.09,11.41,100.00,3700.00,4335.62,17.18,100.00,3400.00,4139.21,21.74,100.00,3500.00,4692.08,34.06,100.00,3700.00,5380.91,45.43
2023-10,2023-10-02,100.00,3300.00,3488.31,5.71,200.00,3900.00,3875.95,-0.62,100.00,3500.00,4065.93,16.17,100.00,3600.00,4386.44,21.85,100.00,3800.00,4756.73,25.18
2023-11,2023-11-01,100.00,3400.00,3550.35,4.42,200.00,4100.00,3887.48,-5.18,100.00,3600.00,4117.53,14.38,100.00,3700.00,4346.77,17.48,100.00,3900.00,4595.87,17.84
2023-12,2023-12-01,100.00,3500.00,3956.45,13.04,100.00,4200.00,5007.78,19.23,100.00,3700.00,4597.96,24.27,100.00,3800.00,5245.69,38.04,100.00,4000.00,5998.50,49.96
2024-01,2024-01-02,100.00,3600.00,4189.74,16.38,100.00,4300.00,5560.57,29.32,100.00,3800.00,4859.10,27.87,100.00,3900.00,5680.07,45.64,100.00,4100.00,6654.59,62.31
2024-02,2024-02-01,100.00,3700.00,4436.44,19.90,100.00,4400.00,6179.90,40.45,100.00,3900.00,5191.92,33.13,100.00,4000.00,6292.08,57.30,100.00,4200.00,7635.33,81.79
2024-03,2024-03-01,100.00,3800.00,4750.92,25.02,100.00,4500.00,7121.13,58.25,100.00,4000.00,5583.96,39.60,100.00,4100.00,7064.05,72.29,100.00,4300.00,8944.37,108.01
2024-04,2024-04-01,100.00,3900.00,4952.19,26.98,100.00,4600.00,7599.44,65.21,100.00,4100.00,5683.06,38.61,100.00,4200.00,7111.15,69.31,100.00,4400.00,8907.44,102.44
2024-05,2024-05-01,100.00,4000.00,4845.35,21.13,100.00,4700.00,6671.96,41.96,100.00,4200.00,5483.81,30.57,100.00,4300.00,6423.09,49.37,100.00,4500.00,7520.47,67.12
2024-06,2024-06-03,100.00,4100.00,5211.17,27.10,100.00,4800.00,7831.56,63.16,100.00,4300.00,5995.04,39.42,100.00,4400.00,7471.55,69.81,100.00,4600.00,9302.37,102.23
2024-07,2024-07-01,100.00,4200.00,5501.72,30.99,100.00,4900.00,8729.10,78.14,100.00,4400.00,6486.07,47.41,100.00,4500.00,8525.14,89.45,100.00,4700.00,11196.39,138.22
