month,date,SPY_from_ath,SPY_state,SPY_buy,SPY_inv,SPY_val,SPY_pl%,UPRO_from_ath,UPRO_state,UPRO_buy,UPRO_inv,UPRO_val,UPRO_pl%,QQQ_from_ath,QQQ_state,QQQ_buy,QQQ_inv,QQQ_val,QQQ_pl%,QLD_from_ath,QLD_state,QLD_buy,QLD_inv,QLD_val,QLD_pl%,TQQQ_from_ath,TQQQ_state,TQQQ_buy,TQQQ_inv,TQQQ_val,TQQQ_pl%
2022-01,2022-01-03,0.00,--,100.00,100.00,100.00,0.00,0.00,--,100.00,100.00,100.00,0.00,-0.45,--,100.00,100.00,100.00,-0.00,-1.63,--,100.00,100.00,100.00,0.00,-3.39,--,100.00,100.00,100.00,0.00
2022-02,2022-02-01,-5.18,--,100.00,200.00,194.82,-2.59,-15.52,DD,200.00,300.00,284.48,-5.17,-9.41,--,100.00,200.00,191.00,-4.50,-19.26,DD,200.00,300.00,282.08,-5.97,-28.86,DD,200.00,300.00,273.64,-8.79
2022-03,2022-03-01,-9.99,--,100.00,300.00,284.94,-5.02,-28.78,DD,200.00,500.00,439.84,-12.03,-15.36,--,100.00,300.00,278.44,-7.19,-30.20,DD,200.00,500.00,443.85,-11.23,-43.50,DD,200.00,500.00,417.31,-16.54
2022-04,2022-04-01,-4.89,--,100.00,400.00,401.07,0.27,-17.39,DD,200.00,700.00,710.14,1.45,-10.21,DD,200.00,500.00,495.41,-0.92,-22.20,DD,200.00,700.00,694.72,-0.75,-34.59,DD,200.00,700.00,683.11,-2.41
2022-05,2022-05-02,-12.97,--,100.00,500.00,467.03,-6.59,-37.75,DD,200.00,900.00,735.15,-18.32,-20.97,DD,200.00,700.00,636.03,-9.14,-40.47,DD,200.00,900.00,731.55,-18.72,-56.81,DD,200.00,900.00,651.05,-27.66
2022-06,2022-06-01,-13.99,--,100.00,600.00,561.52,-6.41,-41.54,DD,200.00,1100.00,890.39,-19.06,-24.07,DD,200.00,900.00,811.11,-9.88,-45.95,DD,200.00,1100.00,864.24,-21.43,-63.55,DD,200.00,1100.00,749.43,-31.87
2022-07,2022-07-01,-19.60,DD,200.00,800.00,724.91,-9.39,-53.66,DD,200.00,1300.00,905.84,-30.32,-29.85,DD,200.00,1100.00,949.27,-13.70,-54.59,DD,200.00,1300.00,926.11,-28.76,-72.46,DD,200.00,1300.00,766.25,-41.06
2022-08,2022-08-01,-13.37,DD,200.00,1000.00,981.06,-1.89,-42.76,DD,200.00,1500.00,1318.75,-12.08,-21.62,DD,200.00,1300.00,1260.78,-3.02,-43.75,DD,200.00,1500.00,1347.10,-10.19,-62.39,DD,200.00,1500.00,1246.49,-16.90
2022-09,2022-09-01,-16.40,DD,200.00,1200.00,1146.79,-4.43,-49.45,DD,200.00,1700.00,1364.60,-19.73,-25.56,DD,200.00,1500.00,1397.31,-6.85,-49.77,DD,200.00,1700.00,1402.95,-17.47,-68.57,DD,200.00,1700.00,1241.80,-26.95
2022-10,2022-10-03,-22.37,DD,200.00,1400.00,1264.91,-9.65,-60.49,DD,200.00,1900.00,1266.69,-33.33,-31.87,DD,200.00,1700.00,1478.87,-13.01,-58.44,DD,200.00,1900.00,1360.76,-28.38,-76.67,DD,200.00,1900.00,1121.53,-40.97
2022-11,2022-11-01,-18.58,DD,200.00,1600.00,1526.71,-4.58,-55.53,DD,200.00,2100.00,1625.80,-22.58,-31.48,DD,200.00,1900.00,1687.41,-11.19,-58.55,DD,200.00,2100.00,1557.22,-25.85,-77.08,DD,200.00,2100.00,1301.99,-38.00
2022-12,2022-12-01,-13.73,DD,200.00,1800.00,1817.47,0.97,-48.53,DD,200.00,2300.00,2081.69,-9.49,-26.84,DD,200.00,2100.00,2001.56,-4.69,-53.47,DD,200.00,2300.00,1947.95,-15.31,-73.25,DD,200.00,2300.00,1719.42,-25.24
2023-01,2023-01-03,-18.99,DD,200.00,2000.00,1906.78,-4.66,-58.14,DD,200.00,2500.00,1892.75,-24.29,-33.97,DD,200.00,2300.00,2006.62,-12.76,-62.49,DD,200.00,2500.00,1770.49,-29.18,-80.81,DD,200.00,2500.00,1433.70,-42.65
2023-02,2023-02-01,-12.61,DD,200.00,2200.00,2256.89,2.59,-48.34,DD,200.00,2700.00,2535.80,-6.08,-24.87,DD,200.00,2500.00,2483.09,-0.68,-51.89,DD,200.00,2700.00,2470.63,-8.50,-72.32,DD,200.00,2700.00,2267.88,-16.00
2023-03,2023-03-01,-16.03,DD,200.00,2400.00,2368.66,-1.31,-54.80,DD,200.00,2900.00,2418.74,-16.60,-27.30,DD,200.00,2700.00,2602.88,-3.60,-55.42,DD,200.00,2900.00,2489.42,-14.16,-75.50,DD,200.00,2900.00,2207.53,-23.88
2023-04,2023-04-03,-12.25,DD,200.00,2600.00,2675.34,2.90,-49.44,DD,200.00,3100.00,2905.51,-6.27,-19.94,DD,200.00,2900.00,3066.08,5.73,-46.45,DD,200.00,3100.00,3190.21,2.91,-67.97,DD,200.00,3100.00,3085.79,-0.46
2023-05,2023-05-01,-11.27,DD,200.00,2800.00,2905.02,3.75,-48.34,DD,200.00,3300.00,3168.89,-3.97,-19.43,DD,200.00,3100.00,3285.62,5.99,-46.14,DD,200.00,3300.00,3408.97,3.30,-67.84,DD,200.00,3300.00,3297.89,-0.06
2023-06,2023-06-01,-9.92,DD,200.00,3000.00,3149.14,4.97,-46.80,DD,200.00,3500.00,3463.59,-1.04,-11.98,DD,200.00,3300.00,3789.72,14.84,-36.23,DD,200.00,3500.00,4236.34,21.04,-58.89,DD,200.00,3500.00,4415.73,26.16
