month,date,SPY_buy,SPY_regime,SPY_inv,SPY_val,SPY_pl%,UPRO_buy,UPRO_regime,UPRO_inv,UPRO_val,UPRO_pl%,QQQ_buy,QQQ_regime,QQQ_inv,QQQ_val,QQQ_pl%,QLD_buy,QLD_regime,QLD_inv,QLD_val,QLD_pl%,TQQQ_buy,TQQQ_regime,TQQQ_inv,TQQQ_val,TQQQ_pl%
2022-01,2022-01-03,100.00,ON,100.00,100.00,0.00,100.00,ON,100.00,100.00,0.00,100.00,ON,100.00,100.00,0.00,100.00,ON,100.00,100.00,0.00,100.00,ON,100.00,100.00,0.00
2022-02,2022-02-01,200.00,ON,300.00,294.82,-5.18,200.00,ON,300.00,284.48,-15.52,200.00,ON,300.00,291.00,-9.00,200.00,ON,300.00,282.08,-17.92,200.00,ON,300.00,273.64,-26.36
2022-03,2022-03-01,100.00,OFF,400.00,379.87,-6.71,100.00,OFF,400.00,339.84,-20.05,100.00,OFF,400.00,371.87,-9.38,100.00,OFF,400.00,343.85,-18.72,100.00,OFF,400.00,317.31,-27.56
2022-04,2022-04-01,100.00,ON,500.00,501.38,0.34,200.00,ON,600.00,594.15,-1.46,100.00,OFF,500.00,494.53,-1.37,100.00,OFF,500.00,483.26,-4.19,100.00,OFF,500.00,467.35,-8.16
2022-05,2022-05-02,100.00,OFF,600.00,558.82,-8.24,100.00,OFF,700.00,547.75,-25.38,100.00,OFF,600.00,535.25,-12.95,100.00,OFF,600.00,469.76,-26.05,100.00,OFF,600.00,408.58,-38.28
2022-06,2022-06-01,100.00,OFF,700.00,652.23,-7.96,100.00,OFF,800.00,614.40,-26.51,100.00,OFF,700.00,614.28,-14.29,100.00,OFF,700.00,526.53,-28.91,100.00,OFF,700.00,444.81,-42.53
2022-07,2022-07-01,100.00,OFF,800.00,709.71,-12.90,100.00,OFF,900.00,587.05,-39.12,100.00,OFF,800.00,667.45,-18.94,100.00,OFF,800.00,542.38,-36.80,100.00,OFF,800.00,436.09,-51.99
2022-08,2022-08-01,100.00,OFF,900.00,864.68,-4.41,100.00,OFF,1000.00,825.03,-19.44,100.00,OFF,900.00,845.85,-6.77,100.00,OFF,900.00,771.80,-16.03,100.00,OFF,900.00,695.57,-25.55
2022-09,2022-09-01,100.00,OFF,1000.00,934.47,-7.28,100.00,OFF,1100.00,828.60,-27.14,100.00,OFF,1000.00,903.27,-10.75,100.00,OFF,1000.00,789.21,-23.42,100.00,OFF,1000.00,681.35,-35.41
2022-10,2022-10-03,100.00,OFF,1100.00,967.75,-13.22,100.00,OFF,1200.00,747.70,-41.12,100.00,OFF,1100.00,926.71,-17.33,100.00,OFF,1100.00,752.97,-34.70,100.00,OFF,1100.00,605.63,-49.44
