month,date,SPY_ath,SPY_ddst,SPY_ma,SPY_buy,SPY_val,SPY_pl%,UPRO_ath,UPRO_ddst,UPRO_ma,UPRO_buy,UPRO_val,UPRO_pl%,QQQ_ath,QQQ_ddst,QQQ_ma,QQQ_buy,QQQ_val,QQQ_pl%,QLD_ath,QLD_ddst,QLD_ma,QLD_buy,QLD_val,QLD_pl%,TQQQ_ath,TQQQ_ddst,TQQQ_ma,TQQQ_buy,TQQQ_val,TQQQ_pl%
2022-01,2022-01-03,0.00,--,ON,100.00,100.00,0.00,0.00,--,ON,100.00,100.00,0.00,-0.45,--,ON,100.00,100.00,0.00,-1.63,--,ON,100.00,100.00,0.00,-3.39,--,ON,100.00,100.00,0.00
2022-02,2022-02-01,-5.18,--,ON,100.00,194.82,-5.18,-15.52,DD,ON,200.00,284.48,-15.52,-9.41,--,ON,100.00,191.00,-9.00,-19.26,DD,OFF,100.00,182.08,-17.92,-28.86,DD,OFF,100.00,173.64,-26.36
2022-03,2022-03-01,-9.99,--,OFF,100.00,284.94,-7.53,-28.78,DD,OFF,100.00,339.84,-20.05,-15.36,--,OFF,100.00,278.44,-10.78,-30.20,DD,OFF,100.00,257.40,-21.30,-43.50,DD,OFF,100.00,237.90,-31.05
2022-04,2022-04-01,-4.89,--,ON,100.00,401.07,0.36,-17.39,DD,ON,200.00,594.15,-1.46,-10.21,DD,OFF,100.00,395.41,-1.53,-22.20,DD,OFF,100.00,386.91,-4.36,-34.59,DD,OFF,100.00,375.41,-8.20
2022-05,2022-05-02,-12.97,--,OFF,100.00,467.03,-8.24,-37.75,DD,OFF,100.00,547.75,-25.38,-20.97,DD,OFF,100.00,448.01,-13.00,-40.47,DD,OFF,100.00,396.03,-25.99,-56.81,DD,OFF,100.00,347.87,-38.03
2022-06,2022-06-01,-13.99,--,OFF,100.00,561.52,-7.70,-41.54,DD,OFF,100.00,614.40,-26.51,-24.07,DD,OFF,100.00,530.46,-13.91,-45.95,DD,OFF,100.00,459.59,-28.08,-63.55,DD,OFF,100.00,393.58,-41.28
2022-07,2022-07-01,-19.60,DD,OFF,100.00,624.91,-12.51,-53.66,DD,OFF,100.00,587.05,-39.12,-29.85,DD,OFF,100.00,590.02,-18.33,-54.59,DD,OFF,100.00,486.14,-35.64,-72.46,DD,OFF,100.00,397.38,-50.44
2022-08,2022-08-01,-13.37,DD,OFF,100.00,773.32,-3.81,-42.76,DD,OFF,100.00,825.03,-19.44,-21.62,DD,OFF,100.00,759.33,-5.81,-43.75,DD,OFF,100.00,702.14,-13.98,-62.39,DD,OFF,100.00,642.71,-22.47
2022-09,2022-09-01,-16.40,DD,OFF,100.00,846.30,-6.71,-49.45,DD,OFF,100.00,828.60,-27.14,-25.56,DD,OFF,100.00,821.10,-9.86,-49.77,DD,OFF,100.00,727.01,-21.62,-68.57,DD,OFF,100.00,637.17,-32.85
2022-10,2022-10-03,-22.37,DD,OFF,100.00,885.88,-12.68,-60.49,DD,OFF,100.00,747.70,-41.12,-31.87,DD,OFF,100.00,851.50,-16.50,-58.44,DD,OFF,100.00,701.50,-33.17,-76.67,DD,OFF,100.00,572.84,-47.46
2022-11,2022-11-01,-18.58,DD,OFF,100.00,1029.16,-7.08,-55.53,DD,OFF,100.00,941.62,-29.86,-31.48,DD,OFF,100.00,956.42,-14.36,-58.55,DD,OFF,100.00,799.68,-30.03,-77.08,DD,OFF,100.00,662.86,-43.71
2022-12,2022-12-01,-13.73,DD,ON,200.00,1290.34,-0.88,-48.53,DD,OFF,100.00,1189.83,-16.17,-26.84,DD,OFF,100.00,1121.12,-7.17,-53.47,DD,OFF,100.00,997.63,-18.40,-73.25,DD,OFF,100.00,873.55,-29.68
2023-01,2023-01-03,-18.99,DD,OFF,100.00,1311.75,-6.79,-58.14,DD,OFF,100.00,1067.52,-30.89,-33.97,DD,OFF,100.00,1111.93,-15.67,-62.49,DD,OFF,100.00,904.31,-32.97,-80.81,DD,OFF,100.00,726.78,-47.77
