month,date,SPY_ath,SPY_reg,SPY_dd,SPY_buy,SPY_routed,SPY_inv,SPY_val,SPY_pl%,UPRO_ath,UPRO_reg,UPRO_dd,UPRO_buy,UPRO_routed,UPRO_inv,UPRO_val,UPRO_pl%,QQQ_ath,QQQ_reg,QQQ_dd,QQQ_buy,QQQ_routed,QQQ_inv,QQQ_val,QQQ_pl%,QLD_ath,QLD_reg,QLD_dd,QLD_buy,QLD_routed,QLD_inv,QLD_val,QLD_pl%,TQQQ_ath,TQQQ_reg,TQQQ_dd,TQQQ_buy,TQQQ_routed,TQQQ_inv,TQQQ_val,TQQQ_pl%
2022-01,2022-01-03,0.00,ON,--,100.00,HOLD,100.00,100.00,0.00,0.00,ON,--,100.00,HOLD,100.00,100.00,0.00,-0.45,ON,--,100.00,HOLD,100.00,100.00,-0.00,-1.63,ON,--,100.00,HOLD,100.00,100.00,0.00,-3.39,ON,--,100.00,HOLD,100.00,100.00,0.00
2022-02,2022-02-01,-5.18,ON,--,100.00,HOLD,200.00,192.82,-3.59,-15.52,ON,DD,200.00,HOLD,300.00,279.44,-6.85,-9.41,ON,--,100.00,HOLD,200.00,190.05,-4.97,-19.26,ON,DD,100.00,HOLD,200.00,180.70,-9.65,-28.86,ON,DD,100.00,HOLD,200.00,172.32,-13.84
2022-03,2022-03-01,-9.99,OFF,--,100.00,CASH,300.00,283.70,-5.43,-28.78,OFF,DD,100.00,CASH,400.00,339.82,-15.05,-15.36,OFF,--,100.00,CASH,300.00,279.67,-6.78,-30.20,OFF,DD,100.00,CASH,300.00,260.98,-13.01,-43.50,OFF,DD,100.00,CASH,300.00,244.88,-18.37
2022-04,2022-04-01,-4.89,ON,--,100.00,HOLD,400.00,389.06,-2.73,-17.39,ON,DD,200.00,HOLD,600.00,558.06,-6.99,-10.21,OFF,DD,100.00,CASH,400.00,376.58,-5.86,-22.20,OFF,DD,100.00,CASH,400.00,355.42,-11.14,-34.59,OFF,DD,100.00,CASH,400.00,337.52,-15.62
2022-05,2022-05-02,-12.97,OFF,--,100.00,CASH,500.00,477.90,-4.42,-37.75,OFF,DD,100.00,CASH,700.00,610.59,-12.77,-20.97,OFF,DD,100.00,CASH,500.00,468.22,-6.36,-40.47,OFF,DD,100.00,CASH,500.00,439.88,-12.02,-56.81,OFF,DD,100.00,CASH,500.00,415.20,-16.96
2022-06,2022-06-01,-13.99,OFF,--,100.00,CASH,600.00,577.90,-3.68,-41.54,OFF,DD,100.00,CASH,800.00,710.59,-11.18,-24.07,OFF,DD,100.00,CASH,600.00,568.22,-5.30,-45.95,OFF,DD,100.00,CASH,600.00,539.88,-10.02,-63.55,OFF,DD,100.00,CASH,600.00,515.20,-14.13
2022-07,2022-07-01,-19.60,OFF,DD,100.00,CASH,700.00,677.90,-3.16,-53.66,OFF,DD,100.00,CASH,900.00,810.59,-9.93,-29.85,OFF,DD,100.00,CASH,700.00,668.22,-4.54,-54.59,OFF,DD,100.00,CASH,700.00,639.88,-8.59,-72.46,OFF,DD,100.00,CASH,700.00,615.20,-12.11
2022-08,2022-08-01,-13.37,OFF,DD,100.00,CASH,800.00,777.90,-2.76,-42.76,OFF,DD,100.00,CASH,1000.00,910.59,-8.94,-21.62,OFF,DD,100.00,CASH,800.00,768.22,-3.97,-43.75,OFF,DD,100.00,CASH,800.00,739.88,-7.52,-62.39,OFF,DD,100.00,CASH,800.00,715.20,-10.60
2022-09,2022-09-01,-16.40,OFF,DD,100.00,CASH,900.00,872.37,-3.07,-49.45,OFF,DD,100.00,CASH,1100.00,990.95,-9.91,-25.56,OFF,DD,100.00,CASH,900.00,868.22,-3.53,-49.77,OFF,DD,100.00,CASH,900.00,839.88,-6.68,-68.57,OFF,DD,100.00,CASH,900.00,815.20,-9.42
2022-10,2022-10-03,-22.37,OFF,DD,100.00,CASH,1000.00,972.37,-2.76,-60.49,OFF,DD,100.00,CASH,1200.00,1090.95,-9.09,-31.87,OFF,DD,100.00,CASH,1000.00,968.22,-3.18,-58.44,OFF,DD,100.00,CASH,1000.00,939.88,-6.01,-76.67,OFF,DD,100.00,CASH,1000.00,915.20,-8.48
2022-11,2022-11-01,-18.58,OFF,DD,100.00,CASH,1100.00,1072.37,-2.51,-55.53,OFF,DD,100.00,CASH,1300.00,1190.95,-8.39,-31.48,OFF,DD,100.00,CASH,1100.00,1068.22,-2.89,-58.55,OFF,DD,100.00,CASH,1100.00,1039.88,-5.47,-77.08,OFF,DD,100.00,CASH,1100.00,1015.20,-7.71
2022-12,2022-12-01,-13.73,ON,DD,200.00,HOLD,1300.00,1271.58,-2.19,-48.53,ON,DD,100.00,HOLD,1400.00,1289.16,-7.92,-26.84,OFF,DD,100.00,CASH,1200.00,1168.22,-2.65,-53.47,OFF,DD,100.00,CASH,1200.00,1139.88,-5.01,-73.25,OFF,DD,100.00,CASH,1200.00,1115.20,-7.07
2023-01,2023-01-03,-18.99,OFF,DD,100.00,CASH,1400.00,1339.30,-4.34,-58.14,OFF,DD,100.00,CASH,1500.00,1291.32,-13.91,-33.97,OFF,DD,100.00,CASH,1300.00,1268.22,-2.44,-62.49,OFF,DD,100.00,CASH,1300.00,1239.88,-4.62,-80.81,OFF,DD,100.00,CASH,1300.00,1215.20,-6.52
2023-02,2023-02-01,-12.61,ON,DD,200.00,HOLD,1600.00,1575.61,-1.52,-48.34,ON,DD,200.00,HOLD,1700.00,1589.72,-6.49,-24.87,ON,DD,200.00,HOLD,1500.00,1481.78,-1.21,-51.89,ON,DD,200.00,HOLD,1500.00,1464.74,-2.35,-72.32,ON,DD,100.00,HOLD,1400.00,1350.92,-3.51
2023-03,2023-03-01,-16.03,ON,DD,200.00,HOLD,1800.00,1714.01,-4.78,-54.80,ON,DD,100.00,HOLD,1800.00,1490.95,-17.17,-27.30,ON,DD,200.00,HOLD,1700.00,1633.92,-3.89,-55.42,ON,DD,100.00,HOLD,1600.00,1457.30,-8.92,-75.50,ON,DD,100.00,HOLD,1500.00,1295.83,-13.61
2023-04,2023-04-03,-12.25,ON,DD,200.00,HOLD,2000.00,1934.17,-3.29,-49.44,ON,DD,200.00,HOLD,2000.00,1720.35,-13.98,-19.94,ON,DD,200.00,HOLD,1900.00,1985.89,4.52,-46.45,ON,DD,200.00,HOLD,1800.00,1924.28,6.90,-67.97,ON,DD,200.00,HOLD,1700.00,1858.24,9.31
2023-05,2023-05-01,-11.27,ON,DD,200.00,HOLD,2200.00,2155.63,-2.02,-48.34,ON,DD,200.00,HOLD,2200.00,1957.87,-11.01,-19.43,ON,DD,200.00,HOLD,2100.00,2198.54,4.69,-46.14,ON,DD,200.00,HOLD,2000.00,2135.60,6.78,-67.84,ON,DD,200.00,HOLD,1900.00,2065.53,8.71
2023-06,2023-06-01,-9.92,ON,DD,200.00,HOLD,2400.00,2388.37,-0.48,-46.80,ON,DD,200.00,HOLD,2400.00,2216.38,-7.65,-11.98,ON,DD,200.00,HOLD,2300.00,2602.03,13.13,-36.23,ON,DD,200.00,HOLD,2200.00,2728.62,24.03,-58.89,ON,DD,200.00,HOLD,2100.00,2840.39,35.26
2023-07,2023-07-03,-4.88,ON,DD,200.00,HOLD,2600.00,2722.10,4.70,-38.07,ON,DD,200.00,HOLD,2600.00,2780.15,6.93,-7.28,ON,DD,200.00,HOLD,2500.00,2940.91,17.64,-29.77,ON,DD,200.00,HOLD,2400.00,3205.02,33.54,-52.73,ON,DD,200.00,HOLD,2300.00,3466.37,50.71
2023-08,2023-08-01,-2.16,ON,DD,200.00,HOLD,2800.00,2999.93,7.14,-33.46,ON,DD,200.00,HOLD,2800.00,3186.96,13.82,-4.15,ON,DD,200.00,HOLD,2700.00,3240.18,20.01,-25.48,ON,DD,200.00,HOLD,2600.00,3600.72,38.49,-48.51,ON,DD,200.00,HOLD,2500.00,3975.39,59.02
2023-09,2023-09-01,-3.30,ON,DD,200.00,HOLD,3000.00,3165.17,5.51,-36.79,ON,DD,200.00,HOLD,3000.00,3227.39,7.58,-5.45,ON,DD,200.00,HOLD,2900.00,3396.17,17.11,-28.14,ON,DD,200.00,HOLD,2800.00,3672.19,31.15,-51.57,ON,DD,200.00,HOLD,2700.00,3939.31,45.90
2023-10,2023-10-02,-8.09,ON,DD,200.00,HOLD,3200.00,3208.22,0.26,-46.41,ON,DD,200.00,HOLD,3200.00,2936.34,-8.24,-9.41,ON,DD,200.00,HOLD,3100.00,3453.99,11.42,-34.35,ON,DD,200.00,HOLD,3000.00,3554.73,18.49,-58.09,ON,DD,200.00,HOLD,2900.00,3609.14,24.45
2023-11,2023-11-01,-9.09,ON,DD,200.00,HOLD,3400.00,3334.94,-1.91,-49.01,ON,DD,100.00,HOLD,3300.00,2805.03,-15.00,-10.49,ON,DD,200.00,HOLD,3300.00,3612.88,9.48,-36.44,ON,DD,200.00,HOLD,3200.00,3641.54,13.80,-60.39,ON,DD,200.00,HOLD,3100.00,3611.22,16.49
2023-12,2023-12-01,-1.25,ON,DD,200.00,HOLD,3600.00,3822.47,6.18,-35.63,ON,DD,200.00,HOLD,3500.00,3741.23,6.89,-2.22,ON,DD,200.00,HOLD,3500.00,4146.68,18.48,-24.76,ON,DD,200.00,HOLD,3400.00,4510.84,32.67,-49.16,ON,DD,200.00,HOLD,3300.00,4834.76,46.51
2024-01,2024-01-02,-0.85,ON,--,100.00,HOLD,3700.00,4051.24,9.49,-29.81,ON,DD,200.00,HOLD,3700.00,4279.50,15.66,-2.17,ON,--,100.00,HOLD,3600.00,4392.01,22.00,-19.96,ON,DD,200.00,HOLD,3600.00,4998.38,38.84,-44.45,ON,DD,200.00,HOLD,3500.00,5482.97,56.66
2024-02,2024-02-01,-0.42,ON,--,100.00,HOLD,3800.00,4293.10,12.98,-23.26,ON,DD,200.00,HOLD,3900.00,4879.19,25.11,-1.46,ON,--,100.00,HOLD,3700.00,4702.45,27.09,-12.75,ON,DD,200.00,HOLD,3800.00,5648.94,48.66,-37.10,ON,DD,200.00,HOLD,3700.00,6408.64,73.21
2024-03,2024-03-01,0.00,ON,--,100.00,HOLD,3900.00,4600.64,17.97,-12.81,ON,DD,200.00,HOLD,4100.00,5743.36,40.08,0.00,ON,--,100.00,HOLD,3800.00,5066.96,33.34,-3.43,ON,DD,200.00,HOLD,4000.00,6452.22,61.31,-27.13,ON,DD,200.00,HOLD,3900.00,7623.44,95.47
2024-04,2024-04-01,-0.19,ON,--,100.00,HOLD,4000.00,4798.71,19.97,-8.18,ON,DD,200.00,HOLD,4300.00,6248.48,45.31,-0.32,ON,--,100.00,HOLD,3900.00,5166.14,32.47,-4.16,ON,DD,200.00,HOLD,4200.00,6603.91,57.24,-28.25,ON,DD,200.00,HOLD,4100.00,7706.73,87.97
2024-05,2024-05-01,-4.36,ON,--,100.00,HOLD,4100.00,4698.28,14.59,-20.59,ON,DD,200.00,HOLD,4500.00,5603.66,24.53,-5.57,ON,--,100.00,HOLD,4000.00,4994.11,24.85,-14.78,ON,DD,200.00,HOLD,4400.00,6072.06,38.00,-40.23,ON,DD,200.00,HOLD,4300.00,6620.20,53.96
2024-06,2024-06-03,-0.67,ON,--,100.00,HOLD,4200.00,5056.03,20.38,-7.98,ON,DD,200.00,HOLD,4700.00,6693.59,42.42,-1.42,ON,--,100.00,HOLD,4100.00,5468.62,33.38,-2.94,ON,--,100.00,HOLD,4500.00,7068.69,57.08,-26.86,ON,DD,200.00,HOLD,4500.00,8300.76,84.46
2024-07,2024-07-01,-0.25,ON,--,100.00,HOLD,4300.00,5340.91,24.21,-1.19,ON,--,100.00,HOLD,4800.00,7475.25,55.73,-0.52,ON,--,100.00,HOLD,4200.00,5925.31,41.08,-1.26,ON,--,100.00,HOLD,4600.00,8070.86,75.45,-12.75,ON,DD,200.00,HOLD,4700.00,10101.62,114.93
2024-08,2024-08-01,-3.87,ON,--,100.00,HOLD,4400.00,5418.09,23.14,-12.14,ON,--,100.00,HOLD,4900.00,7355.67,50.12,-8.61,ON,--,100.00,HOLD,4300.00,5751.62,33.76,-17.24,ON,--,100.00,HOLD,4700.00,7360.82,56.61,-26.32,ON,DD,200.00,HOLD,4900.00,8730.43,78.17
2024-09,2024-09-03,-2.26,ON,--,100.00,HOLD,4500.00,5608.59,24.64,-9.64,ON,DD,200.00,HOLD,5100.00,7764.54,52.25,-8.18,ON,--,100.00,HOLD,4400.00,5878.52,33.60,-17.49,ON,DD,200.00,HOLD,4900.00,7538.95,53.86,-27.50,ON,DD,200.00,HOLD,5100.00,8791.27,72.38
