timestamp,A_monthly_clean,B_daily_no_threshold,C_daily_threshold,D_monthly_threshold
2016-06-01,100000.00,100000.00,100000.00,100000.00
2016-06-02,100000.00,100000.00,100000.00,100000.00
2016-06-03,100000.00,100000.00,100000.00,100000.00
2016-06-06,100000.00,100000.00,100000.00,100000.00
2016-06-07,100000.00,100000.00,100000.00,100000.00
2016-06-08,100000.00,100000.00,100000.00,100000.00
2016-06-09,100000.00,100000.00,100000.00,100000.00
2016-06-10,100000.00,100000.00,100000.00,100000.00
2016-06-13,100000.00,100000.00,100000.00,100000.00
2016-06-14,100000.00,100000.00,100000.00,100000.00
2016-06-15,100000.00,100000.00,100000.00,100000.00
2016-06-16,100000.00,100000.00,100000.00,100000.00
2016-06-17,100000.00,100000.00,100000.00,100000.00
2016-06-20,100000.00,100000.00,100000.00,100000.00
2016-06-21,100000.00,100000.00,100000.00,100000.00
2016-06-22,100000.00,100000.00,100000.00,100000.00
2016-06-23,100000.00,100000.00,100000.00,100000.00
2016-06-24,100000.00,100000.00,100000.00,100000.00
2016-06-27,100000.00,100000.00,100000.00,100000.00
2016-06-28,100000.00,100000.00,100000.00,100000.00
2016-06-29,100000.00,100000.00,100000.00,100000.00
2016-06-30,100000.00,100000.00,100000.00,100000.00
2016-07-01,100000.00,100000.00,100000.00,100000.00
2016-07-05,100000.00,100000.00,100000.00,100000.00
2016-07-06,100000.00,100000.00,100000.00,100000.00
2016-07-07,100000.00,100000.00,100000.00,100000.00
2016-07-08,100000.00,100000.00,100000.00,100000.00
2016-07-11,100000.00,100000.00,100000.00,100000.00
2016-07-12,100000.00,100000.00,100000.00,100000.00
2016-07-13,100000.00,100000.00,100000.00,100000.00
2016-07-14,100000.00,100000.00,100000.00,100000.00
2016-07-15,100000.00,100000.00,100000.00,100000.00
2016-07-18,100000.00,100000.00,100000.00,100000.00
2016-07-19,100000.00,100000.00,100000.00,100000.00
2016-07-20,100000.00,100000.00,100000.00,100000.00
2016-07-21,100000.00,100000.00,100000.00,100000.00
2016-07-22,100000.00,100000.00,100000.00,100000.00
2016-07-25,100000.00,100000.00,100000.00,100000.00
2016-07-26,100000.00,100000.00,100000.00,100000.00
2016-07-27,100000.00,100000.00,100000.00,100000.00
2016-07-28,100000.00,100000.00,100000.00,100000.00
2016-07-29,100000.00,100000.00,100000.00,100000.00
2016-08-01,100000.00,100000.00,100000.00,100000.00
2016-08-02,100000.00,100000.00,100000.00,100000.00
2016-08-03,100000.00,100000.00,100000.00,100000.00
2016-08-04,100000.00,100000.00,100000.00,100000.00
2016-08-05,100000.00,100000.00,100000.00,100000.00
2016-08-08,100000.00,100000.00,100000.00,100000.00
2016-08-09,100000.00,100000.00,100000.00,100000.00
2016-08-10,100000.00,100000.00,100000.00,100000.00
2016-08-11,100000.00,100000.00,100000.00,100000.00
2016-08-12,100000.00,100000.00,100000.00,100000.00
2016-08-15,100000.00,100000.00,100000.00,100000.00
2016-08-16,100000.00,100000.00,100000.00,100000.00
2016-08-17,100000.00,100000.00,100000.00,100000.00
2016-08-18,100000.00,100000.00,100000.00,100000.00
2016-08-19,100000.00,100000.00,100000.00,100000.00
2016-08-22,100000.00,100000.00,100000.00,100000.00
2016-08-23,100000.00,100000.00,100000.00,100000.00
2016-08-24,100000.00,100000.00,100000.00,100000.00
2016-08-25,100000.00,100000.00,100000.00,100000.00
2016-08-26,100000.00,100000.00,100000.00,100000.00
2016-08-29,100000.00,100000.00,100000.00,100000.00
2016-08-30,100000.00,100000.00,100000.00,100000.00
2016-08-31,100000.00,100000.00,100000.00,100000.00
2016-09-01,100000.00,100000.00,100000.00,100000.00
2016-09-02,100000.00,100000.00,100000.00,100000.00
2016-09-06,100000.00,100000.00,100000.00,100000.00
2016-09-07,100000.00,100000.00,100000.00,100000.00
2016-09-08,100000.00,100000.00,100000.00,100000.00
2016-09-09,100000.00,100000.00,100000.00,100000.00
2016-09-12,100000.00,100000.00,100000.00,100000.00
2016-09-13,100000.00,100000.00,100000.00,100000.00
2016-09-14,100000.00,100000.00,100000.00,100000.00
2016-09-15,100000.00,100000.00,100000.00,100000.00
2016-09-16,100000.00,100000.00,100000.00,100000.00
2016-09-19,100000.00,100000.00,100000.00,100000.00
2016-09-20,100000.00,100000.00,100000.00,100000.00
2016-09-21,100000.00,100000.00,100000.00,100000.00
2016-09-22,100000.00,100000.00,100000.00,100000.00
2016-09-23,100000.00,100000.00,100000.00,100000.00
2016-09-26,100000.00,100000.00,100000.00,100000.00
2016-09-27,100000.00,100000.00,100000.00,100000.00
2016-09-28,100000.00,100000.00,100000.00,100000.00
2016-09-29,100000.00,100000.00,100000.00,100000.00
2016-09-30,100000.00,100000.00,100000.00,100000.00
2016-10-03,100000.00,100000.00,100000.00,100000.00
2016-10-04,100000.00,100000.00,100000.00,100000.00
2016-10-05,100000.00,100000.00,100000.00,100000.00
2016-10-06,100000.00,100000.00,100000.00,100000.00
2016-10-07,100000.00,100000.00,100000.00,100000.00
2016-10-10,100000.00,100000.00,100000.00,100000.00
2016-10-11,100000.00,100000.00,100000.00,100000.00
2016-10-12,100000.00,100000.00,100000.00,100000.00
2016-10-13,100000.00,100000.00,100000.00,100000.00
2016-10-14,100000.00,100000.00,100000.00,100000.00
2016-10-17,100000.00,100000.00,100000.00,100000.00
2016-10-18,100000.00,100000.00,100000.00,100000.00
2016-10-19,100000.00,100000.00,100000.00,100000.00
2016-10-20,100000.00,100000.00,100000.00,100000.00
2016-10-21,100000.00,100000.00,100000.00,100000.00
2016-10-24,100000.00,100000.00,100000.00,100000.00
2016-10-25,100000.00,100000.00,100000.00,100000.00
2016-10-26,100000.00,100000.00,100000.00,100000.00
2016-10-27,100000.00,100000.00,100000.00,100000.00
2016-10-28,100000.00,100000.00,100000.00,100000.00
2016-10-31,100000.00,100000.00,100000.00,100000.00
2016-11-01,100000.00,100000.00,100000.00,100000.00
2016-11-02,100000.00,100000.00,100000.00,100000.00
2016-11-03,100000.00,100000.00,100000.00,100000.00
2016-11-04,100000.00,100000.00,100000.00,100000.00
2016-11-07,100000.00,100000.00,100000.00,100000.00
2016-11-08,100000.00,100000.00,100000.00,100000.00
2016-11-09,100000.00,100000.00,100000.00,100000.00
2016-11-10,100000.00,100000.00,100000.00,100000.00
2016-11-11,100000.00,100000.00,100000.00,100000.00
2016-11-14,100000.00,100000.00,100000.00,100000.00
2016-11-15,100000.00,100000.00,100000.00,100000.00
2016-11-16,100000.00,100000.00,100000.00,100000.00
2016-11-17,100000.00,100000.00,100000.00,100000.00
2016-11-18,100000.00,100000.00,100000.00,100000.00
2016-11-21,100000.00,100000.00,100000.00,100000.00
2016-11-22,100000.00,100000.00,100000.00,100000.00
2016-11-23,100000.00,100000.00,100000.00,100000.00
2016-11-25,100000.00,100000.00,100000.00,100000.00
2016-11-28,100000.00,100000.00,100000.00,100000.00
2016-11-29,99950.00,99950.00,99950.00,99950.00
2016-11-30,98674.19,98654.42,98654.60,98674.19
2016-12-01,95121.96,94537.88,94522.64,95121.96
2016-12-02,95862.19,95105.33,95087.19,95862.19
2016-12-05,97327.33,96480.62,96460.91,97327.33
2016-12-06,99281.88,98262.71,98258.62,99281.88
2016-12-07,100979.27,99732.57,99735.35,100979.27
2016-12-08,102709.14,101022.63,101011.39,102709.14
2016-12-09,103951.01,101211.82,101199.25,103951.01
2016-12-12,104077.03,101229.83,101215.82,104077.03
2016-12-13,104852.60,102068.02,102046.96,104852.60
2016-12-14,105817.49,103079.87,103040.07,105817.49
2016-12-15,107350.81,104525.49,104480.05,107350.81
2016-12-16,107020.45,104248.91,104206.27,107020.45
2016-12-19,108717.85,105869.70,105816.83,108717.85
2016-12-20,110945.31,107907.66,107861.59,110945.31
2016-12-21,111042.25,108014.36,107969.61,111042.25
2016-12-22,111279.29,108181.07,108142.59,111279.29
2016-12-23,111900.56,108780.44,108737.96,111900.56
2016-12-27,114803.43,111390.11,111370.26,114803.43
2016-12-28,111480.29,108440.42,108406.94,111480.29
2016-12-29,111940.23,108851.22,108816.20,111940.23
2016-12-30,109957.32,106922.47,106867.09,109957.32
2017-01-03,109862.44,106799.24,106760.49,109862.44
2017-01-04,110431.89,107380.31,107341.73,110431.89
2017-01-05,109822.73,106752.55,106706.28,109822.73
2017-01-06,110858.76,107766.55,107721.38,110858.76
2017-01-09,112117.82,109050.21,109003.05,112117.82
2017-01-10,111824.58,108758.86,108713.35,111824.58
2017-01-11,111529.29,108448.49,108409.06,111529.29
2017-01-12,110225.72,107110.95,107078.00,110225.72
2017-01-13,109865.53,106707.07,106674.52,109865.53
2017-01-17,107989.65,104749.05,104744.59,107989.65
2017-01-18,108518.96,105275.46,105264.53,108518.96
2017-01-19,108610.97,105308.25,105293.94,108610.97
2017-01-20,108849.30,105977.18,105960.27,108849.30
2017-01-23,109397.78,106486.37,106461.89,109397.78
2017-01-24,111112.93,108867.88,108850.43,111112.93
2017-01-25,111513.24,109693.91,109671.65,111513.24
2017-01-26,112261.89,110443.23,110430.33,112261.89
2017-01-27,113616.70,111481.89,111480.80,113616.70
