rank,strategy,symbol,timeframe,sharpe,sortino,cagr,max_drawdown,win_rate,profit_factor,total_return,trade_count,exposure,avg_trade,best_trade,worst_trade,n_bars,gate1_pass,halted,is_optimized,score
1,alpha_composite,NVDA,1d,1.9541,1.8604,0.9095,0.2193,0.5385,4.3341,0.6795,13,0.6552,0.0479,0.3695,-0.079,203,False,True,True,3.7201
2,ema_crossover,NVDA,1d,1.4207,1.4191,0.607,0.2072,1.0,999.9,0.4516,1,0.7437,0.4757,0.4757,0.4757,199,False,True,True,2.6478
3,momentum_long,NVDA,1d,0.9715,0.6444,0.302,0.2178,1.0,999.9,0.2317,1,0.34,0.2401,0.2401,0.2401,200,False,True,True,1.551
4,bb_reversion,NVDA,1d,1.2127,0.6606,0.2449,0.1745,0.7439,2.8794,1.9767,82,0.1887,0.0149,0.1254,-0.1621,1256,False,False,True,1.4593
5,momentum_long,PLTR,1d,1.0374,0.9051,0.2432,0.2058,0.3333,8.6138,1.3232,6,0.5384,0.5039,2.7733,-0.1359,977,False,True,False,1.3367
6,momentum_long,TSLA,1d,0.7349,0.3509,0.185,0.2153,1.0,999.9,0.1274,1,0.2626,0.1538,0.1538,0.1538,179,False,True,False,1.1059
7,triple_screen,NVDA,1d,1.0304,0.7994,0.152,0.1689,0.7117,1.9258,1.0231,111,0.4777,0.0135,0.2505,-0.228,1256,False,False,True,1.1056
8,alpha_composite,ETH/USDT,1d,0.7406,0.8877,0.1943,0.2064,0.3818,0.9571,0.5175,55,0.6762,-0.0015,0.5387,-0.216,593,False,True,True,1.076
9,alpha_composite,BTC/USDT,1d,0.8102,0.8503,0.183,0.2128,0.4507,1.3688,0.4684,71,0.6846,0.0056,0.4361,-0.1346,577,False,True,True,1.0756
10,macd_momentum,NVDA,1d,1.1592,1.1064,0.0911,0.1037,0.3065,1.609,0.544,62,0.5465,0.0217,0.4246,-0.1605,1257,False,False,True,0.9469
11,vwap_reversion,AVGO,1d,1.0084,0.7273,0.0794,0.0962,0.7237,2.7098,0.4635,76,0.4185,0.0145,0.124,-0.1239,1257,False,False,False,0.8947
12,momentum_long,AVGO,1d,0.7208,0.6687,0.1267,0.2016,0.6,18.2949,0.6047,5,0.748,0.4147,2.1219,-0.1045,1000,False,True,False,0.8881
13,momentum_long,META,1d,0.81,0.6355,0.0964,0.2094,0.6667,33.3772,0.4437,3,0.5879,0.5286,1.6051,-0.049,1007,False,True,False,0.838
14,alpha_composite,QQQ,1d,0.8266,0.7356,0.0816,0.1402,0.5093,1.188,0.4779,108,0.7643,0.0018,0.2478,-0.1124,1256,False,False,True,0.7983
15,momentum_long,ETH/USDT,1d,0.6083,0.4378,0.1125,0.1806,0.4286,1.9816,0.3614,7,0.4123,0.0628,0.6815,-0.1499,730,False,False,True,0.7876
16,donchian_bo,ETH/USDT,1d,0.8899,0.6421,0.069,0.0376,0.3182,2.2763,0.213,22,0.0781,0.0138,0.1413,-0.0417,730,False,False,True,0.7873
17,zscore_reversion,NVDA,1d,0.7642,0.4943,0.0756,0.1283,0.7674,2.5329,0.4382,43,0.3914,0.0222,0.1563,-0.2703,1257,False,False,True,0.7836
18,bb_reversion,ETH/USDT,1d,0.615,0.2059,0.0948,0.125,0.6923,4.6621,0.2994,13,0.0466,0.0222,0.1261,-0.0457,730,False,False,True,0.7746
19,alpha_composite,BTC/USDT,4h,0.9017,0.9316,0.0541,0.0339,0.5143,1.4113,0.0581,35,0.5092,0.0024,0.0567,-0.0492,271,False,True,True,0.7676
20,atr_breakout,TSLA,1d,0.6404,0.5157,0.1059,0.2019,0.3065,1.6168,0.4913,62,0.5514,0.0169,0.5337,-0.1056,1001,False,True,False,0.7641
21,donchian_bo,NVDA,1d,0.9634,0.7191,0.0442,0.0245,0.4615,1.1455,0.2402,104,0.2237,0.0018,0.0944,-0.0934,1256,False,False,True,0.7592
22,vwap_reversion,NVDA,1d,0.7138,0.4634,0.0695,0.1286,0.8036,2.2634,0.3979,56,0.3946,0.0183,0.1383,-0.2258,1257,False,False,True,0.7487
23,momentum_long,BTC/USDT,1d,0.7962,0.6031,0.0711,0.0693,0.3,2.9552,0.2199,10,0.4192,0.0546,0.5453,-0.0961,730,False,False,True,0.7479
24,macd_momentum,TSLA,1d,0.8328,0.6693,0.0676,0.1184,0.3265,2.1795,0.3854,49,0.5422,0.0392,0.6792,-0.1331,1256,False,False,False,0.7449
25,rsi_reversion,NVDA,1d,1.0674,0.2817,0.0083,0.0035,0.8182,20.2093,0.0423,11,0.0215,0.0405,0.1834,-0.0225,1256,False,False,True,0.733
26,bb_reversion,BTC/USDT,4h,0.7937,0.4643,0.0496,0.0325,0.7,1.71,0.028,10,0.2552,0.0029,0.0248,-0.0341,145,False,True,True,0.7298
27,macd_momentum,PLTR,1d,0.7536,0.6534,0.0712,0.1776,0.4681,1.8719,0.4088,47,0.5613,0.0317,0.6046,-0.2337,1256,False,False,False,0.7263
28,bb_reversion,PLTR,1d,0.6019,0.2244,0.087,0.1662,0.5172,3.3424,0.5153,29,0.0653,0.0184,0.2459,-0.0465,1256,False,False,False,0.7202
29,bb_reversion,BTC/USDT,1d,0.6859,0.2282,0.0619,0.0788,0.75,3.3217,0.1899,8,0.0274,0.0245,0.1186,-0.0814,730,False,False,True,0.7193
30,rsi_reversion,GOOG,1d,1.0022,0.2696,0.0064,0.0041,1.0,999.9,0.0325,13,0.0287,0.0261,0.0817,0.0009,1256,False,False,False,0.7193
31,ema_crossover,META,1d,0.9216,0.9357,0.0327,0.0442,0.24,3.2157,0.1738,25,0.6242,0.0706,1.4796,-0.109,1256,False,False,False,0.6819
32,atr_breakout,AVGO,1d,0.5977,0.5496,0.0752,0.1463,0.2727,1.6914,0.4348,77,0.7014,0.014,0.6432,-0.1016,1256,False,False,False,0.6627
33,macd_momentum,BTC/USDT,1d,0.7186,0.7064,0.0464,0.0704,0.4062,1.1932,0.1405,32,0.5308,0.0046,0.2271,-0.1116,731,False,False,True,0.6532
34,macd_momentum,ETH/USDT,4h,0.6529,0.8694,0.0486,0.027,0.4,0.9088,0.0529,10,0.5455,-0.0016,0.07,-0.054,275,False,True,False,0.6416
35,zscore_reversion,AVGO,1d,0.6283,0.4062,0.0442,0.1029,0.7667,2.1939,0.2404,60,0.3835,0.0126,0.124,-0.2231,1257,False,False,False,0.64
36,ema_crossover,SPY,1d,0.8934,0.7304,0.0094,0.0121,0.5294,4.5452,0.0478,17,0.6895,0.0289,0.1733,-0.038,1256,False,False,True,0.6361
37,bb_reversion,QQQ,1d,0.6022,0.2332,0.0423,0.0549,0.7297,2.9695,0.229,37,0.0732,0.0061,0.0673,-0.0264,1256,False,False,True,0.6298
38,rsi_reversion,AVGO,1d,0.7801,0.1501,0.0045,0.0038,1.0,999.9,0.0226,6,0.0143,0.0388,0.1279,0.0063,1256,False,False,False,0.6248
39,atr_breakout,ETH/USDT,1d,0.5292,0.4326,0.0708,0.1755,0.2222,1.8342,0.2191,27,0.4337,0.0233,0.6575,-0.0731,731,False,False,True,0.6112
40,ema_crossover,AVGO,1d,0.707,0.6304,0.0271,0.0497,0.4286,2.4899,0.1425,28,0.672,0.0504,0.7854,-0.1337,1256,False,False,False,0.597
41,atr_breakout,GOOG,1d,0.5978,0.497,0.0517,0.1596,0.3077,1.6735,0.2854,65,0.6656,0.0115,0.3838,-0.1082,1256,False,False,False,0.5931
42,atr_breakout,QQQ,1d,0.6706,0.5304,0.0352,0.1063,0.4,1.7074,0.1878,60,0.6783,0.008,0.207,-0.0717,1256,False,False,True,0.5926
43,momentum_long,SPY,1d,0.6933,0.5535,0.0237,0.0748,0.5714,3.992,0.1235,7,0.7277,0.061,0.3284,-0.0922,1256,False,False,True,0.5906
44,ema_crossover,QQQ,1d,0.7606,0.6097,0.0115,0.0218,0.5,2.9669,0.0589,20,0.676,0.0317,0.2414,-0.0633,1256,False,False,True,0.5844
45,momentum_long,QQQ,1d,0.6312,0.4811,0.0268,0.0853,0.6364,3.2481,0.1407,11,0.6576,0.0439,0.2926,-0.0806,1256,False,False,True,0.5795
46,ema_crossover,BTC/USDT,1d,0.6506,0.5301,0.0272,0.0428,0.2222,1.7519,0.0807,9,0.4986,0.0338,0.4973,-0.1301,730,False,False,True,0.5555
47,rsi_reversion,BTC/USDT,1d,0.5798,1.5648,0.006,0.0002,1.0,999.9,0.0176,1,0.0027,0.1186,0.1186,0.1186,730,False,False,True,0.5499
48,rsi_reversion,ETH/USDT,1d,0.5802,1.6384,0.0041,0.0002,1.0,999.9,0.012,1,0.0027,0.1261,0.1261,0.1261,730,False,False,True,0.5443
49,rsi_reversion,QQQ,1d,0.6315,0.248,0.0055,0.0092,0.7,3.0511,0.0277,30,0.074,0.0091,0.0673,-0.0477,1256,False,False,True,0.5373
50,ema_crossover,BTC/USDT,4h,0.6356,0.5383,0.0175,0.0299,0.32,1.6638,0.1009,25,0.5393,0.0097,0.2473,-0.0511,1400,False,True,True,0.5328
51,zscore_reversion,GOOG,1d,0.4709,0.3269,0.0304,0.1098,0.7447,1.7087,0.1608,47,0.4018,0.0078,0.0945,-0.1298,1257,False,False,False,0.5321
52,vwap_reversion,V,1d,0.4652,0.3661,0.0311,0.0553,0.5769,1.4783,0.1649,78,0.4805,0.0033,0.1103,-0.0695,1257,False,False,False,0.526
53,momentum_long,NVO,1d,0.434,0.3203,0.0472,0.1963,0.5,3.662,0.2585,6,0.5597,0.1489,1.17,-0.1784,1256,False,False,False,0.5259
54,ema_crossover,TSLA,1d,0.5311,0.3916,0.0271,0.0707,0.3913,2.1659,0.1424,23,0.5342,0.0461,0.5624,-0.1176,1256,False,False,False,0.5187
55,ema_crossover,PLTR,1d,0.4625,0.3858,0.0455,0.1566,0.25,2.2695,0.2483,24,0.5677,0.0564,1.1891,-0.1495,1256,False,False,False,0.5152
56,donchian_bo,PLTR,1d,0.4981,0.3035,0.0312,0.063,0.3472,0.9146,0.1653,72,0.1465,-0.0016,0.2792,-0.1516,1256,False,False,False,0.515
57,momentum_long,BTC/USDT,4h,0.5533,0.5025,0.0227,0.061,0.3636,2.9859,0.1386,11,0.7349,0.0451,0.5525,-0.0913,1460,False,True,True,0.5136
58,alpha_composite,META,1d,0.4084,0.3708,0.0457,0.1951,0.5047,1.5902,0.2491,107,0.7054,0.0103,1.2937,-0.2921,1256,False,False,False,0.5119
59,bb_reversion,NOW,1d,0.3969,0.1333,0.0358,0.1331,0.6667,1.6221,0.1914,42,0.0884,0.0048,0.0639,-0.0856,1256,False,False,False,0.5062
60,ema_crossover,MSFT,1d,0.6168,0.4819,0.0105,0.0362,0.3478,2.0434,0.0536,23,0.5589,0.0245,0.2893,-0.0902,1256,False,False,False,0.5058
61,ema_crossover,CRWD,1d,0.5063,0.3873,0.0184,0.0631,0.5,2.1985,0.0951,22,0.5868,0.046,0.893,-0.2012,1256,False,False,False,0.4951
