rank,strategy,symbol,timeframe,sharpe,sortino,cagr,max_drawdown,win_rate,profit_factor,total_return,trade_count,exposure,avg_trade,best_trade,worst_trade,n_bars,gate1_pass,halted,is_optimized,score
1,alpha_composite,NVDA,1d,1.0975,1.1446,0.3021,0.201,0.6429,2.4099,0.3048,14,0.7255,0.0345,0.4483,-0.2021,255,False,True,False,1.5694
2,momentum_long,NVDA,1d,0.9715,0.6444,0.302,0.2178,1.0,999.9,0.2317,1,0.34,0.2401,0.2401,0.2401,200,False,True,False,1.551
3,momentum_long,PLTR,1d,1.0374,0.9051,0.2432,0.2058,0.3333,8.6138,1.3232,6,0.5384,0.5039,2.7733,-0.1359,977,False,True,False,1.3367
4,momentum_long,TSLA,1d,0.7349,0.3509,0.185,0.2153,1.0,999.9,0.1274,1,0.2626,0.1538,0.1538,0.1538,179,False,True,False,1.1059
5,macd_momentum,NVDA,1d,1.0557,0.9109,0.0991,0.1789,0.3958,1.9342,0.6016,48,0.5346,0.0356,0.4796,-0.1605,1257,False,False,False,0.9234
6,vwap_reversion,AVGO,1d,1.0084,0.7273,0.0794,0.0962,0.7237,2.7098,0.4635,76,0.4185,0.0145,0.124,-0.1239,1257,False,False,False,0.8947
7,momentum_long,AVGO,1d,0.7208,0.6687,0.1267,0.2016,0.6,18.2949,0.6047,5,0.748,0.4147,2.1219,-0.1045,1000,False,True,False,0.8881
8,momentum_long,META,1d,0.81,0.6355,0.0964,0.2094,0.6667,33.3772,0.4437,3,0.5879,0.5286,1.6051,-0.049,1007,False,True,False,0.838
9,ema_crossover,NVDA,1d,1.0562,1.0397,0.0599,0.0662,0.3846,2.7731,0.3359,26,0.6409,0.098,1.4639,-0.1645,1256,False,False,False,0.8274
10,donchian_bo,ETH/USDT,1d,0.8778,0.6596,0.0696,0.0422,0.2917,1.9001,0.215,24,0.0849,0.0106,0.1413,-0.0533,730,False,False,False,0.7806
11,atr_breakout,TSLA,1d,0.6404,0.5157,0.1059,0.2019,0.3065,1.6168,0.4913,62,0.5514,0.0169,0.5337,-0.1056,1001,False,True,False,0.7641
12,macd_momentum,TSLA,1d,0.8328,0.6693,0.0676,0.1184,0.3265,2.1795,0.3854,49,0.5422,0.0392,0.6792,-0.1331,1256,False,False,False,0.7449
13,macd_momentum,PLTR,1d,0.7536,0.6534,0.0712,0.1776,0.4681,1.8719,0.4088,47,0.5613,0.0317,0.6046,-0.2337,1256,False,False,False,0.7263
14,bb_reversion,PLTR,1d,0.6019,0.2244,0.087,0.1662,0.5172,3.3424,0.5153,29,0.0653,0.0184,0.2459,-0.0465,1256,False,False,False,0.7202
15,rsi_reversion,GOOG,1d,1.0022,0.2696,0.0064,0.0041,1.0,999.9,0.0325,13,0.0287,0.0261,0.0817,0.0009,1256,False,False,False,0.7193
16,vwap_reversion,NVDA,1d,0.6367,0.4241,0.0619,0.178,0.8,1.9782,0.3492,65,0.4216,0.0136,0.1264,-0.2638,1257,False,False,False,0.6848
17,ema_crossover,META,1d,0.9216,0.9357,0.0327,0.0442,0.24,3.2157,0.1738,25,0.6242,0.0706,1.4796,-0.109,1256,False,False,False,0.6819
18,atr_breakout,AVGO,1d,0.5977,0.5496,0.0752,0.1463,0.2727,1.6914,0.4348,77,0.7014,0.014,0.6432,-0.1016,1256,False,False,False,0.6627
19,triple_screen,NVDA,1d,0.5262,0.3617,0.0687,0.1996,0.6577,1.41,0.3922,111,0.4204,0.0077,0.2505,-0.228,1256,False,False,False,0.6424
20,macd_momentum,ETH/USDT,4h,0.6529,0.8694,0.0486,0.027,0.4,0.9088,0.0529,10,0.5455,-0.0016,0.07,-0.054,275,False,True,False,0.6416
21,zscore_reversion,AVGO,1d,0.6283,0.4062,0.0442,0.1029,0.7667,2.1939,0.2404,60,0.3835,0.0126,0.124,-0.2231,1257,False,False,False,0.64
22,rsi_reversion,AVGO,1d,0.7801,0.1501,0.0045,0.0038,1.0,999.9,0.0226,6,0.0143,0.0388,0.1279,0.0063,1256,False,False,False,0.6248
23,ema_crossover,AVGO,1d,0.707,0.6304,0.0271,0.0497,0.4286,2.4899,0.1425,28,0.672,0.0504,0.7854,-0.1337,1256,False,False,False,0.597
24,atr_breakout,GOOG,1d,0.5978,0.497,0.0517,0.1596,0.3077,1.6735,0.2854,65,0.6656,0.0115,0.3838,-0.1082,1256,False,False,False,0.5931
25,zscore_reversion,NVDA,1d,0.4996,0.3271,0.0474,0.1676,0.7167,1.5825,0.2599,60,0.4121,0.0098,0.1383,-0.2258,1257,False,False,False,0.5802
26,ema_crossover,QQQ,1d,0.7151,0.5653,0.01,0.0221,0.4545,2.2073,0.0508,22,0.6584,0.0242,0.2827,-0.0532,1256,False,False,False,0.5571
27,ema_crossover,SPY,1d,0.6734,0.5423,0.0071,0.013,0.5,2.5946,0.0356,22,0.6823,0.0168,0.1824,-0.038,1256,False,False,False,0.5381
28,momentum_long,SPY,1d,0.5818,0.4599,0.0238,0.0733,0.4286,5.2632,0.1244,7,0.7436,0.0628,0.3641,-0.0478,1256,False,False,False,0.5323
29,zscore_reversion,GOOG,1d,0.4709,0.3269,0.0304,0.1098,0.7447,1.7087,0.1608,47,0.4018,0.0078,0.0945,-0.1298,1257,False,False,False,0.5321
30,vwap_reversion,V,1d,0.4652,0.3661,0.0311,0.0553,0.5769,1.4783,0.1649,78,0.4805,0.0033,0.1103,-0.0695,1257,False,False,False,0.526
31,momentum_long,NVO,1d,0.434,0.3203,0.0472,0.1963,0.5,3.662,0.2585,6,0.5597,0.1489,1.17,-0.1784,1256,False,False,False,0.5259
32,donchian_bo,NVDA,1d,0.5528,0.3694,0.0234,0.0474,0.4023,0.7753,0.122,87,0.1752,-0.0031,0.0944,-0.0934,1256,False,False,False,0.5221
33,atr_breakout,ETH/USDT,1d,0.4111,0.3454,0.0524,0.1717,0.3243,1.4908,0.1594,37,0.4432,0.0127,0.3704,-0.1113,731,False,False,False,0.5197
34,ema_crossover,TSLA,1d,0.5311,0.3916,0.0271,0.0707,0.3913,2.1659,0.1424,23,0.5342,0.0461,0.5624,-0.1176,1256,False,False,False,0.5187
35,ema_crossover,PLTR,1d,0.4625,0.3858,0.0455,0.1566,0.25,2.2695,0.2483,24,0.5677,0.0564,1.1891,-0.1495,1256,False,False,False,0.5152
36,donchian_bo,PLTR,1d,0.4981,0.3035,0.0312,0.063,0.3472,0.9146,0.1653,72,0.1465,-0.0016,0.2792,-0.1516,1256,False,False,False,0.515
37,alpha_composite,META,1d,0.4084,0.3708,0.0457,0.1951,0.5047,1.5902,0.2491,107,0.7054,0.0103,1.2937,-0.2921,1256,False,False,False,0.5119
