strategy,base_strategy,regime_filtered,symbol,timeframe,sharpe,cagr,max_drawdown,win_rate,profit_factor,trade_count,total_return,gate1_pass,halted
ema_crossover,ema_crossover,False,AAPL,1d,0.3495,0.0064,0.0393,0.36,1.43,25,0.0322,False,False
ema_crossover+regime,ema_crossover,True,AAPL,1d,0.3314,0.0058,0.0344,0.381,1.26,21,0.0291,False,False
donchian_bo,donchian_bo,False,AAPL,1d,0.397,0.0041,0.0149,0.4795,1.15,73,0.0207,False,False
donchian_bo+regime,donchian_bo,True,AAPL,1d,0.4464,0.0042,0.0149,0.48,1.24,50,0.0213,False,False
macd_momentum,macd_momentum,False,AAPL,1d,0.5121,0.0164,0.0518,0.42,1.37,50,0.0844,False,False
macd_momentum+regime,macd_momentum,True,AAPL,1d,0.6149,0.0235,0.0406,0.3902,1.3,41,0.1226,False,False
triple_screen,triple_screen,False,AAPL,1d,-0.3853,-0.0271,0.2047,0.5698,0.83,86,-0.1019,False,True
triple_screen+regime,triple_screen,True,AAPL,1d,-0.46,-0.0249,0.1867,0.525,0.74,80,-0.1181,False,False
atr_breakout,atr_breakout,False,AAPL,1d,0.3366,0.0218,0.1471,0.3548,1.28,62,0.1135,False,False
atr_breakout+regime,atr_breakout,True,AAPL,1d,0.3335,0.0171,0.0921,0.3778,1.37,45,0.0882,False,False
momentum_long,momentum_long,False,AAPL,1d,-0.3879,-0.0494,0.2032,0.0,0.0,4,-0.0829,False,True
momentum_long+regime,momentum_long,True,AAPL,1d,0.0254,-0.0001,0.0979,0.3889,1.47,18,-0.0006,False,False
alpha_composite,alpha_composite,False,AAPL,1d,0.2487,0.0142,0.1164,0.4958,1.36,119,0.0729,False,False
alpha_composite+regime,alpha_composite,True,AAPL,1d,0.3163,0.0142,0.0705,0.5063,1.53,79,0.0726,False,False
alpha_trend_v2,alpha_trend_v2,False,AAPL,1d,0.5509,0.0485,0.1186,0.4962,1.19,133,0.2658,False,False
alpha_trend_v2+regime,alpha_trend_v2,True,AAPL,1d,0.6294,0.0501,0.1025,0.4889,1.32,90,0.2756,False,False
alpha_momentum_v2,alpha_momentum_v2,False,AAPL,1d,-0.3873,-0.0801,0.2059,0.6316,1.13,38,-0.1331,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,AAPL,1d,0.5272,0.056,0.1188,0.5584,1.81,77,0.3119,False,False
ema_crossover,ema_crossover,False,AMZN,1d,0.2786,0.0065,0.0528,0.2609,1.47,23,0.0328,False,False
ema_crossover+regime,ema_crossover,True,AMZN,1d,0.1666,0.0058,0.0778,0.2941,2.07,17,0.0291,False,False
donchian_bo,donchian_bo,False,AMZN,1d,-1.4016,-0.0164,0.0838,0.3,0.35,70,-0.0791,False,False
donchian_bo+regime,donchian_bo,True,AMZN,1d,-1.4597,-0.016,0.0801,0.2712,0.27,59,-0.0772,False,False
macd_momentum,macd_momentum,False,AMZN,1d,0.4328,0.0285,0.0923,0.3559,0.97,59,0.1506,False,False
macd_momentum+regime,macd_momentum,True,AMZN,1d,-0.0485,-0.0066,0.1472,0.26,0.76,50,-0.0324,False,False
triple_screen,triple_screen,False,AMZN,1d,0.0164,-0.002,0.1886,0.5941,1.04,101,-0.01,False,False
triple_screen+regime,triple_screen,True,AMZN,1d,0.3338,0.0209,0.1018,0.642,1.27,81,0.1084,False,False
atr_breakout,atr_breakout,False,AMZN,1d,0.1282,0.0076,0.1287,0.3,1.1,80,0.0386,False,False
atr_breakout+regime,atr_breakout,True,AMZN,1d,0.0121,-0.002,0.1311,0.2759,0.98,58,-0.0098,False,False
momentum_long,momentum_long,False,AMZN,1d,0.2052,0.0125,0.1432,0.25,1.62,12,0.0639,False,False
momentum_long+regime,momentum_long,True,AMZN,1d,0.364,0.0355,0.1899,0.4444,1.69,9,0.1897,False,False
alpha_composite,alpha_composite,False,AMZN,1d,0.1003,0.005,0.1663,0.496,0.96,125,0.0249,False,False
alpha_composite+regime,alpha_composite,True,AMZN,1d,0.1263,0.0072,0.1317,0.4648,0.98,71,0.0363,False,False
alpha_trend_v2,alpha_trend_v2,False,AMZN,1d,-1.194,-0.1156,0.2023,0.4918,0.63,61,-0.1895,False,True
alpha_trend_v2+regime,alpha_trend_v2,True,AMZN,1d,-0.1304,-0.0185,0.1945,0.4337,0.82,83,-0.0886,False,False
alpha_momentum_v2,alpha_momentum_v2,False,AMZN,1d,-1.7208,-0.2126,0.2097,0.4211,0.35,19,-0.1743,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,AMZN,1d,0.2546,0.0282,0.1955,0.4861,1.27,72,0.1484,False,False
ema_crossover,ema_crossover,False,ASML,1d,0.2571,0.0079,0.0619,0.4231,1.44,26,0.04,False,False
ema_crossover+regime,ema_crossover,True,ASML,1d,-0.1404,-0.0075,0.0857,0.3182,1.28,22,-0.0368,False,False
donchian_bo,donchian_bo,False,ASML,1d,0.0688,0.0017,0.0917,0.4342,0.8,76,0.0085,False,False
donchian_bo+regime,donchian_bo,True,ASML,1d,-0.6949,-0.0139,0.0925,0.4182,0.63,55,-0.0672,False,False
macd_momentum,macd_momentum,False,ASML,1d,0.1572,0.0071,0.1059,0.3864,1.45,44,0.0359,False,False
macd_momentum+regime,macd_momentum,True,ASML,1d,-0.2478,-0.0166,0.1664,0.3611,1.03,36,-0.0799,False,False
triple_screen,triple_screen,False,ASML,1d,0.171,0.0121,0.1592,0.5357,1.1,84,0.0615,False,False
triple_screen+regime,triple_screen,True,ASML,1d,0.0787,0.0031,0.1099,0.4776,1.04,67,0.0154,False,False
atr_breakout,atr_breakout,False,ASML,1d,0.0973,0.0046,0.2016,0.3818,1.06,55,0.0174,False,True
atr_breakout+regime,atr_breakout,True,ASML,1d,-0.3444,-0.0333,0.2016,0.2973,0.65,37,-0.1194,False,True
momentum_long,momentum_long,False,ASML,1d,-0.1937,-0.0629,0.204,0.0,0.0,1,-0.0508,False,True
momentum_long+regime,momentum_long,True,ASML,1d,-0.5301,-0.0903,0.2066,0.1429,0.01,7,-0.2066,False,True
alpha_composite,alpha_composite,False,ASML,1d,0.1367,0.0093,0.18,0.4231,1.11,104,0.0471,False,False
alpha_composite+regime,alpha_composite,True,ASML,1d,-0.4447,-0.0509,0.2001,0.3214,0.63,56,-0.2001,False,True
alpha_trend_v2,alpha_trend_v2,False,ASML,1d,-0.2916,-0.0523,0.2029,0.4667,0.68,30,-0.0571,False,True
alpha_trend_v2+regime,alpha_trend_v2,True,ASML,1d,-1.1012,-0.0854,0.204,0.303,0.31,33,-0.204,False,True
alpha_momentum_v2,alpha_momentum_v2,False,ASML,1d,0.113,-0.0054,0.2339,0.5833,1.02,12,-0.0044,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,ASML,1d,-1.1823,-0.1141,0.2061,0.4615,0.34,13,-0.2061,False,True
ema_crossover,ema_crossover,False,AVGO,1d,0.707,0.0271,0.0497,0.4286,2.49,28,0.1425,False,False
ema_crossover+regime,ema_crossover,True,AVGO,1d,0.6607,0.0734,0.125,0.3333,1.8,27,0.423,False,False
donchian_bo,donchian_bo,False,AVGO,1d,0.3708,0.0168,0.0573,0.4306,1.32,72,0.0865,False,False
donchian_bo+regime,donchian_bo,True,AVGO,1d,0.4157,0.0186,0.0559,0.4375,1.43,48,0.0961,False,False
macd_momentum,macd_momentum,False,AVGO,1d,-0.2014,-0.0185,0.1472,0.3333,1.33,60,-0.0888,False,False
macd_momentum+regime,macd_momentum,True,AVGO,1d,-0.3671,-0.0287,0.1694,0.2889,1.12,45,-0.1352,False,False
triple_screen,triple_screen,False,AVGO,1d,0.1354,0.0085,0.2041,0.5341,1.02,88,0.0311,False,True
triple_screen+regime,triple_screen,True,AVGO,1d,-0.0693,-0.0094,0.2041,0.4516,0.87,62,-0.0337,False,True
atr_breakout,atr_breakout,False,AVGO,1d,0.5977,0.0752,0.1463,0.2727,1.69,77,0.4348,False,False
atr_breakout+regime,atr_breakout,True,AVGO,1d,0.5371,0.0672,0.1409,0.2456,1.47,57,0.3827,False,False
momentum_long,momentum_long,False,AVGO,1d,0.7208,0.1267,0.2016,0.6,18.29,5,0.6047,False,True
momentum_long+regime,momentum_long,True,AVGO,1d,1.0099,0.2499,0.2089,0.4545,6.33,11,1.092,False,True
alpha_composite,alpha_composite,False,AVGO,1d,0.2247,0.022,0.2003,0.5287,1.46,87,0.077,False,True
alpha_composite+regime,alpha_composite,True,AVGO,1d,-0.0298,-0.0134,0.2003,0.381,1.31,42,-0.0449,False,True
alpha_trend_v2,alpha_trend_v2,False,AVGO,1d,1.0153,0.1526,0.1473,0.536,2.42,125,1.0282,False,False
alpha_trend_v2+regime,alpha_trend_v2,True,AVGO,1d,0.9694,0.1618,0.1222,0.4865,2.29,74,1.11,False,False
alpha_momentum_v2,alpha_momentum_v2,False,AVGO,1d,0.4596,0.0709,0.2005,0.5,1.28,24,0.0565,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,AVGO,1d,0.5505,0.0897,0.2192,0.45,1.51,40,0.341,False,True
ema_crossover,ema_crossover,False,BTC/USDT,1d,0.3984,0.01,0.0269,0.2857,1.64,14,0.0291,False,False
ema_crossover+regime,ema_crossover,True,BTC/USDT,1d,0.1897,0.0081,0.0655,0.2857,1.37,14,0.0235,False,False
donchian_bo,donchian_bo,False,BTC/USDT,1d,0.1466,0.0035,0.0159,0.4118,1.09,34,0.01,False,False
donchian_bo+regime,donchian_bo,True,BTC/USDT,1d,0.2007,0.0049,0.0159,0.4333,1.15,30,0.0141,False,False
macd_momentum,macd_momentum,False,BTC/USDT,1d,0.3865,0.0222,0.0879,0.3214,1.13,28,0.0657,False,False
macd_momentum+regime,macd_momentum,True,BTC/USDT,1d,0.3078,0.0171,0.1076,0.3704,0.99,27,0.0503,False,False
triple_screen,triple_screen,False,BTC/USDT,1d,-0.1868,-0.0174,0.131,0.5532,0.88,47,-0.0496,False,False
triple_screen+regime,triple_screen,True,BTC/USDT,1d,-0.0488,-0.0066,0.1066,0.5854,0.96,41,-0.019,False,False
atr_breakout,atr_breakout,False,BTC/USDT,1d,0.2143,0.0164,0.126,0.2381,1.23,42,0.0483,False,False
atr_breakout+regime,atr_breakout,True,BTC/USDT,1d,0.0606,0.0013,0.1622,0.2368,1.07,38,0.0038,False,False
momentum_long,momentum_long,False,BTC/USDT,1d,0.3271,0.0238,0.0992,0.6667,11.02,3,0.0703,False,False
momentum_long+regime,momentum_long,True,BTC/USDT,1d,0.1661,0.01,0.1046,0.3333,3.5,3,0.0291,False,False
alpha_composite,alpha_composite,False,BTC/USDT,1d,-0.2668,-0.0328,0.2004,0.4605,1.06,76,-0.0839,False,True
alpha_composite+regime,alpha_composite,True,BTC/USDT,1d,-0.3914,-0.0499,0.2005,0.4407,0.95,59,-0.1104,False,True
alpha_trend_v2,alpha_trend_v2,False,BTC/USDT,1d,-0.2988,-0.0341,0.165,0.4444,0.94,90,-0.0955,False,False
alpha_trend_v2+regime,alpha_trend_v2,True,BTC/USDT,1d,-0.6271,-0.0701,0.2211,0.4459,0.71,74,-0.1755,False,True
