strategy,symbol,timeframe,valid_combos,best_sharpe,best_cagr,best_max_drawdown,best_trade_count,gate1_pass,wf_folds,overfitting_score,gate2_pass,best_params,error
cci_trend+stop,AAPL,1d,33,1.5044,0.1937,0.1204,53,True,14,0.5942,False,"{""entry_level"": 50.0, ""exit_level"": 0.0, ""vol_threshold"": 0.8}",
cci_trend+stop,AAPL-MSFT,1d,33,0.5208,0.0445,0.1823,12,False,4,0.0093,False,"{""entry_level"": 125.0, ""exit_level"": -50.0, ""vol_threshold"": 1.2}",
cci_trend+stop,AMZN,1d,33,0.1203,0.0068,0.2032,18,False,14,0.6918,False,"{""entry_level"": 100.0, ""exit_level"": 0.0, ""vol_threshold"": 1.0}",
cci_trend+stop,ASML,1d,33,0.6549,0.0786,0.1515,39,False,14,0.872,True,"{""entry_level"": 75.0, ""exit_level"": 50.0, ""vol_threshold"": 1.2}",
cci_trend+stop,ASML-AVGO,1d,33,0.3861,0.0345,0.1527,13,False,4,,False,"{""entry_level"": 50.0, ""exit_level"": 0.0, ""vol_threshold"": 1.2}",
cci_trend+stop,AVGO,1d,33,0.5495,0.0676,0.1589,36,False,14,0.3046,False,"{""entry_level"": 75.0, ""exit_level"": 0.0, ""vol_threshold"": 1.2}",
cci_trend+stop,CRWD,1d,33,1.1559,0.2888,0.2045,11,False,8,0.2201,False,"{""entry_level"": 50.0, ""exit_level"": 0.0, ""vol_threshold"": 1.0}",
cci_trend+stop,GOOG,1d,33,0.4708,0.047,0.1992,27,False,14,0.5322,False,"{""entry_level"": 50.0, ""exit_level"": -50.0, ""vol_threshold"": 1.2}",
cci_trend+stop,MA,1d,33,0.3584,0.0353,0.2039,29,False,14,0.3916,False,"{""entry_level"": 125.0, ""exit_level"": -50.0, ""vol_threshold"": 0.8}",
cci_trend+stop,META,1d,33,0.7209,0.1005,0.1882,42,False,14,1.9951,True,"{""entry_level"": 125.0, ""exit_level"": -50.0, ""vol_threshold"": 1.0}",
cci_trend+stop,MSFT,1d,33,0.6024,0.0539,0.1381,39,False,14,0.6104,False,"{""entry_level"": 125.0, ""exit_level"": -50.0, ""vol_threshold"": 1.0}",
cci_trend+stop,MSFT-GOOG,1d,33,-0.0523,-0.0035,0.0982,11,False,4,0.0,False,"{""entry_level"": 100.0, ""exit_level"": 50.0, ""vol_threshold"": 1.2}",
cci_trend+stop,NOW,1d,33,0.6643,0.114,0.2005,27,False,14,0.5564,False,"{""entry_level"": 50.0, ""exit_level"": -50.0, ""vol_threshold"": 0.8}",
cci_trend+stop,NVDA,1d,33,0.8103,0.1117,0.1841,25,False,14,0.8241,True,"{""entry_level"": 50.0, ""exit_level"": 0.0, ""vol_threshold"": 1.2}",
cci_trend+stop,NVDA-AVGO,1d,33,1.2552,0.256,0.2019,7,False,4,0.0536,False,"{""entry_level"": 50.0, ""exit_level"": 0.0, ""vol_threshold"": 0.8}",
cci_trend+stop,NVO,1d,33,0.4465,0.0406,0.1708,31,False,14,0.5154,False,"{""entry_level"": 125.0, ""exit_level"": -50.0, ""vol_threshold"": 1.2}",
cci_trend+stop,PLTR,1d,33,3.9031,30.0024,0.2231,1,False,6,1.9401,True,"{""entry_level"": 125.0, ""exit_level"": -50.0, ""vol_threshold"": 0.8}",
cci_trend+stop,QQQ,1d,33,0.7801,0.048,0.0908,36,False,14,0.5039,False,"{""entry_level"": 100.0, ""exit_level"": -50.0, ""vol_threshold"": 1.0}",
cci_trend+stop,SPY,1d,33,0.9525,0.0391,0.0539,26,False,14,0.8609,True,"{""entry_level"": 125.0, ""exit_level"": -50.0, ""vol_threshold"": 1.0}",
cci_trend+stop,TSLA,1d,33,1.3038,0.3881,0.2097,26,False,14,2.6132,True,"{""entry_level"": 100.0, ""exit_level"": 50.0, ""vol_threshold"": 1.0}",
cci_trend+stop,V,1d,33,0.2449,0.0132,0.2049,29,False,14,0.5148,False,"{""entry_level"": 50.0, ""exit_level"": 0.0, ""vol_threshold"": 1.2}",
cci_trend+stop,V-MA,1d,33,0.2251,0.0105,0.0802,18,False,4,2.1652,True,"{""entry_level"": 50.0, ""exit_level"": -50.0, ""vol_threshold"": 1.2}",
hull_ma_crossover+stop,AAPL,1d,27,0.9337,0.0908,0.1184,44,False,14,0.2291,False,"{""fast_period"": 34, ""slow_period"": 50, ""trend_period"": 100}",
hull_ma_crossover+stop,AAPL-MSFT,1d,27,0.0377,-0.0012,0.1897,25,False,4,0.0,False,"{""fast_period"": 13, ""slow_period"": 50, ""trend_period"": 100}",
hull_ma_crossover+stop,AMZN,1d,27,0.5518,0.0618,0.212,27,False,14,0.4605,False,"{""fast_period"": 13, ""slow_period"": 89, ""trend_period"": 100}",
hull_ma_crossover+stop,ASML,1d,27,0.7552,0.0901,0.181,36,False,14,0.4253,False,"{""fast_period"": 13, ""slow_period"": 144, ""trend_period"": 100}",
hull_ma_crossover+stop,ASML-AVGO,1d,27,0.5098,0.0345,0.1089,5,False,4,0.0,False,"{""fast_period"": 21, ""slow_period"": 89, ""trend_period"": 100}",
