strategy,symbol,timeframe,valid_combos,best_sharpe,best_cagr,best_max_drawdown,best_trade_count,gate1_pass,wf_folds,overfitting_score,gate2_pass,best_params,error
cci_trend+stop,AAPL,1wk,36,1.0808,0.0939,0.0587,5,False,5,0.4253,False,"{""entry_level"": 75.0, ""exit_level"": 50.0, ""period"": 8, ""vol_threshold"": 1.0}",
cci_trend+stop,AMZN,1wk,36,0.087,0.0029,0.214,14,False,5,0.258,False,"{""entry_level"": 75.0, ""exit_level"": 0.0, ""period"": 8, ""vol_threshold"": 0.8}",
cci_trend+stop,ASML,1wk,36,0.3116,0.0238,0.1119,16,False,5,0.5884,False,"{""entry_level"": 125.0, ""exit_level"": 50.0, ""period"": 4, ""vol_threshold"": 0.8}",
cci_trend+stop,AVGO,1wk,36,0.8997,0.1939,0.1885,11,False,5,0.4169,False,"{""entry_level"": 125.0, ""exit_level"": 0.0, ""period"": 8, ""vol_threshold"": 0.8}",
cci_trend+stop,CRWD,1wk,36,0.7775,0.1475,0.2219,4,False,5,0.2131,False,"{""entry_level"": 75.0, ""exit_level"": 0.0, ""period"": 8, ""vol_threshold"": 1.2}",
cci_trend+stop,GOOG,1wk,36,0.8178,0.0983,0.1036,6,False,5,0.7153,True,"{""entry_level"": 75.0, ""exit_level"": 0.0, ""period"": 8, ""vol_threshold"": 1.2}",
cci_trend+stop,MA,1wk,36,0.7651,0.0328,0.043,4,False,5,0.7838,True,"{""entry_level"": 100.0, ""exit_level"": 0.0, ""period"": 4, ""vol_threshold"": 1.2}",
cci_trend+stop,META,1wk,36,0.7885,0.0747,0.1069,10,False,5,0.1432,False,"{""entry_level"": 125.0, ""exit_level"": 0.0, ""period"": 4, ""vol_threshold"": 0.8}",
cci_trend+stop,MSFT,1wk,36,1.3105,0.0598,0.0298,7,False,5,0.7315,True,"{""entry_level"": 100.0, ""exit_level"": 50.0, ""period"": 4, ""vol_threshold"": 1.2}",
cci_trend+stop,NOW,1wk,36,0.9046,0.0912,0.0719,4,False,5,0.5148,False,"{""entry_level"": 75.0, ""exit_level"": 0.0, ""period"": 8, ""vol_threshold"": 1.2}",
cci_trend+stop,NVDA,1wk,36,1.0672,0.1313,0.1014,13,False,5,0.7559,True,"{""entry_level"": 125.0, ""exit_level"": 50.0, ""period"": 4, ""vol_threshold"": 0.8}",
cci_trend+stop,NVO,1wk,36,0.4707,0.0559,0.2019,14,False,5,0.2238,False,"{""entry_level"": 100.0, ""exit_level"": 50.0, ""period"": 8, ""vol_threshold"": 0.8}",
cci_trend+stop,PLTR,1wk,36,0.8475,0.2239,0.199,5,False,5,0.353,False,"{""entry_level"": 75.0, ""exit_level"": 50.0, ""period"": 8, ""vol_threshold"": 1.0}",
cci_trend+stop,QQQ,1wk,36,1.1779,0.0595,0.0348,4,False,5,0.2887,False,"{""entry_level"": 100.0, ""exit_level"": 0.0, ""period"": 4, ""vol_threshold"": 1.0}",
cci_trend+stop,SPY,1wk,36,1.0785,0.0538,0.0396,9,False,5,1.0045,True,"{""entry_level"": 100.0, ""exit_level"": 50.0, ""period"": 8, ""vol_threshold"": 0.8}",
cci_trend+stop,TSLA,1wk,36,0.6694,0.0734,0.0995,5,False,5,0.1763,False,"{""entry_level"": 125.0, ""exit_level"": 50.0, ""period"": 4, ""vol_threshold"": 1.2}",
cci_trend+stop,V,1wk,36,0.3437,0.0205,0.0898,7,False,5,0.5402,False,"{""entry_level"": 75.0, ""exit_level"": 0.0, ""period"": 4, ""vol_threshold"": 1.2}",
hull_ma_crossover+stop,AAPL,1wk,8,0.2781,0.0228,0.1374,19,False,5,1.4653,True,"{""fast_period"": 5, ""slow_period"": 13, ""trend_period"": 26}",
hull_ma_crossover+stop,AMZN,1wk,8,0.2335,0.0189,0.0993,15,False,5,0.3014,False,"{""fast_period"": 5, ""slow_period"": 13, ""trend_period"": 52}",
hull_ma_crossover+stop,ASML,1wk,8,0.7759,0.1098,0.1441,14,False,5,0.6784,False,"{""fast_period"": 3, ""slow_period"": 13, ""trend_period"": 26}",
hull_ma_crossover+stop,AVGO,1wk,8,0.9194,0.1989,0.165,16,False,5,0.0,False,"{""fast_period"": 3, ""slow_period"": 26, ""trend_period"": 52}",
hull_ma_crossover+stop,CRWD,1wk,8,0.8077,0.1177,0.1086,16,False,5,0.0,False,"{""fast_period"": 3, ""slow_period"": 13, ""trend_period"": 26}",
hull_ma_crossover+stop,GOOG,1wk,8,0.7342,0.0829,0.1477,12,False,5,0.0,False,"{""fast_period"": 3, ""slow_period"": 26, ""trend_period"": 26}",
hull_ma_crossover+stop,MA,1wk,8,0.648,0.0481,0.0867,20,False,5,0.0,False,"{""fast_period"": 5, ""slow_period"": 13, ""trend_period"": 52}",
hull_ma_crossover+stop,META,1wk,8,0.8908,0.1249,0.131,13,False,5,0.7011,True,"{""fast_period"": 3, ""slow_period"": 26, ""trend_period"": 26}",
