strategy,symbol,timeframe,valid_combos,best_sharpe,best_cagr,best_max_drawdown,best_trade_count,gate1_pass,wf_folds,overfitting_score,gate2_pass,best_params,error
momentum_long+stop,AAPL,1d,27,1.0205,0.0476,0.0755,11,False,4,0.0,False,"{""entry_threshold"": 0.08, ""exit_threshold"": -0.05, ""lookback_period"": 126}",
momentum_long+stop,AMZN,1d,27,0.7185,0.0223,0.0305,12,False,4,0.3252,False,"{""entry_threshold"": 0.03, ""exit_threshold"": 0.0, ""lookback_period"": 126}",
momentum_long+stop,ASML,1d,27,0.5668,0.0327,0.076,7,False,4,0.2678,False,"{""entry_threshold"": 0.03, ""exit_threshold"": -0.05, ""lookback_period"": 126}",
momentum_long+stop,AVGO,1d,27,1.1306,0.0382,0.0466,7,False,4,0.1264,False,"{""entry_threshold"": 0.03, ""exit_threshold"": -0.05, ""lookback_period"": 126}",
momentum_long+stop,CRWD,1d,27,0.2926,0.0102,0.0439,4,False,4,2.2155,True,"{""entry_threshold"": 0.08, ""exit_threshold"": 0.0, ""lookback_period"": 189}",
momentum_long+stop,GOOG,1d,27,0.8149,0.0444,0.0797,9,False,4,0.6614,False,"{""entry_threshold"": 0.03, ""exit_threshold"": 0.0, ""lookback_period"": 126}",
momentum_long+stop,MA,1d,27,0.0254,0.0003,0.0692,10,False,4,0.6941,False,"{""entry_threshold"": 0.03, ""exit_threshold"": 0.0, ""lookback_period"": 189}",
momentum_long+stop,META,1d,27,0.5486,0.0184,0.0512,6,False,4,0.281,False,"{""entry_threshold"": 0.08, ""exit_threshold"": 0.0, ""lookback_period"": 126}",
momentum_long+stop,MSFT,1d,27,1.0347,0.042,0.0656,8,False,4,0.7158,True,"{""entry_threshold"": 0.03, ""exit_threshold"": -0.05, ""lookback_period"": 126}",
momentum_long+stop,NOW,1d,27,0.2915,0.0134,0.092,14,False,4,0.6087,False,"{""entry_threshold"": 0.03, ""exit_threshold"": 0.0, ""lookback_period"": 63}",
momentum_long+stop,NVDA,1d,27,1.1159,0.1185,0.1143,4,False,4,0.1261,False,"{""entry_threshold"": 0.03, ""exit_threshold"": -0.05, ""lookback_period"": 126}",
momentum_long+stop,NVO,1d,27,0.4983,0.0307,0.1295,15,False,4,0.3041,False,"{""entry_threshold"": 0.05, ""exit_threshold"": 0.0, ""lookback_period"": 63}",
momentum_long+stop,PLTR,1d,27,0.6321,0.0327,0.0732,4,False,4,0.3843,False,"{""entry_threshold"": 0.03, ""exit_threshold"": -0.05, ""lookback_period"": 189}",
momentum_long+stop,QQQ,1d,27,1.0526,0.0328,0.0508,11,False,4,0.0939,False,"{""entry_threshold"": 0.03, ""exit_threshold"": -0.05, ""lookback_period"": 126}",
momentum_long+stop,SPY,1d,27,0.909,0.0188,0.0286,6,False,4,0.2683,False,"{""entry_threshold"": 0.03, ""exit_threshold"": -0.05, ""lookback_period"": 126}",
momentum_long+stop,TSLA,1d,27,0.8969,0.1588,0.2015,3,False,4,0.021,False,"{""entry_threshold"": 0.03, ""exit_threshold"": -0.02, ""lookback_period"": 126}",
momentum_long+stop,V,1d,27,-0.4041,-0.0073,0.0455,8,False,4,2.7906,True,"{""entry_threshold"": 0.03, ""exit_threshold"": -0.05, ""lookback_period"": 189}",
donchian_bo+stop,AAPL,1d,7,0.4418,0.0047,0.0107,79,False,4,5.0987,True,"{""period"": 15}",
